"organism","target_version"
"Tarenaya_hassleriana","ncbi_100"
"Theobroma_cacao",20110822
"Thlaspi_arvense","v1"
"Trifolium_subterraneum","TSUw_r1.0"
"Triticum_aestivum","Synthetic_W7984"
"Triticum_urartu","release-31"
"Vicia_faba","VfEP_Reference-Unigene"
"Vigna_radiata","Vradiata_ver6"
"Vitis_aestivalis","VitisNorton_MSU1.0"
"Vitis_cinerea_x_Vitis_riparia","BoeWGS1.0"
"Vitis_vinifera","ncbi_101"
"Volvox_carteri","v1.0"
"Zea_mays","ncbi_100"
"Zizania_latifolia","v01"
"Ziziphus_jujuba","ncbi_100"
"Zostera_marina","v.2.1"
"Zostera_muelleri","Zmu_v1"
"Zoysia_matrella","ASM160229v1"
"Zoysia_pacifica","ASM160231v1"
