sequenceID	name	Genus	referenceName	featureName	startNT	endNT
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	whole_genome	1	2037
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	Rep	41	994
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	gp3	410	790
NC_002361	CoCV	Circovirus	REF_Circo_CoCV	Cap	1166	1987
NC_008522	FiCV	Circovirus	REF_Circo_FiCV	whole_genome	1	1962
NC_008522	FiCV	Circovirus	REF_Circo_FiCV	Rep	29	904
NC_008522	FiCV	Circovirus	REF_Circo_FiCV	Cap	614	1063
NC_015399	BarbCV	Circovirus	REF_Circo_BarbCV	whole_genome	1	1957
NC_015399	BarbCV	Circovirus	REF_Circo_BarbCV	Rep	48	1007
NC_015399	BarbCV	Circovirus	REF_Circo_BarbCV	Cap	1261	1761
NC_020904	CfCV	Circovirus	REF_Circo_CfCV	whole_genome	1	2063
NC_020904	CfCV	Circovirus	REF_Circo_CfCV	Rep	1	912
NC_020904	CfCV	Circovirus	REF_Circo_CfCV	Cap	1116	1928
NC_023885	MiCV	Circovirus	REF_Circo_MiCV	whole_genome	1	1753
NC_023885	MiCV	Circovirus	REF_Circo_MiCV	Rep	36	929
NC_023885	MiCV	Circovirus	REF_Circo_MiCV	Cap	1020	1703
NC_025246	SgCV	Circovirus	REF_Circo_SgCV	whole_genome	1	1966
NC_025246	SgCV	Circovirus	REF_Circo_SgCV	Rep	251	1195
NC_025246	SgCV	Circovirus	REF_Circo_SgCV	Cap	1251	1934
NC_025247	SwCV	Circovirus	REF_Circo_SwCV	whole_genome	1	1783
NC_025247	SwCV	Circovirus	REF_Circo_SwCV	Rep	48	929
NC_025247	SwCV	Circovirus	REF_Circo_SwCV	Cap	968	1723
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	whole_genome	1	1982
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	Rep	29	904
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	ORFV2	1233	1967
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	ORFC2	1289	1720
NC_026945	ZfCV	Circovirus	REF_Circo_ZfCV	Cap	1233	1772
NC_028045	TbCV	Circovirus	REF_Circo_TbCV	whole_genome	1	1767
NC_028045	TbCV	Circovirus	REF_Circo_TbCV	Rep	8	919
NC_028045	TbCV	Circovirus	REF_Circo_TbCV	Cap	1055	1711
NC_031753	PCV-3	Circovirus	REF_Circo_PCV-3	whole_genome	1	2000
NC_031753	PCV-3	Circovirus	REF_Circo_PCV-3	Rep	216	1106
NC_031753	PCV-3	Circovirus	REF_Circo_PCV-3	Cap	1336	1980
KJ831064	HuACyV-1	Cyclovirus	REF_Cyclo_MASTER_HuACyV-1	whole_genome	1	1710
KJ831064	HuACyV-1	Cyclovirus	REF_Cyclo_MASTER_HuACyV-1	Rep	26	856
KJ831064	HuACyV-1	Cyclovirus	REF_Cyclo_MASTER_HuACyV-1	Cap	836	1528
KM382270	BatACyV-10	Cyclovirus	REF_Cyclo_BatACyV-10	whole_genome	1	1790
KM382270	BatACyV-10	Cyclovirus	REF_Cyclo_BatACyV-10	Rep	208	867
KM382270	BatACyV-10	Cyclovirus	REF_Cyclo_BatACyV-10	Cap	1005	1703
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_CRESS2_MASTER_Po-41	whole_genome	1	2904
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_CRESS2_MASTER_Po-41	Rep	606	1583
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_CRESS2_MASTER_Po-41	gp2	1741	2313
NC_025683	Po-Circo-like virus 41	Cyclovirus	REF_CRESS2_MASTER_Po-41	gp3	2329	2904
NC_024700	Feline cyclovirus	Cyclovirus	REF_Cyclo_FlCyV	whole_genome	1	1773
NC_024700	Feline cyclovirus	Cyclovirus	REF_Cyclo_FlCyV	Rep	1	819
NC_024700	Feline cyclovirus	Cyclovirus	REF_Cyclo_FlCyV	Cap	827	1498
NC_026639	AHEaCV-13	Unclassified	REF_CRESS1_AHEaCV-13	whole_genome	1	2212
NC_026639	AHEaCV-13	Unclassified	REF_CRESS1_AHEaCV-13	Rep	153	1049
NC_026639	AHEaCV-13	Unclassified	REF_CRESS1_AHEaCV-13	Cap	1042	2145
NC_026641	AHEaCV-14	Unclassified	REF_CRESS1_AHEaCV-14	whole_genome	1	2255
NC_026641	AHEaCV-14	Unclassified	REF_CRESS1_AHEaCV-14	Rep	79	1149
NC_026641	AHEaCV-14	Unclassified	REF_CRESS1_AHEaCV-14	Cap	1139	2086
MF669476	CBSV	Unclassified	REF_Porprismaco_MASTER_CBSV	whole_genome	1	2926
MF669476	CBSV	Unclassified	REF_Porprismaco_MASTER_CBSV	Rep	1	1026
MF669476	CBSV	Unclassified	REF_Porprismaco_MASTER_CBSV	ORF3	350	1006
MF669476	CBSV	Unclassified	REF_Porprismaco_MASTER_CBSV	Cap	1366	2874
