sequenceID	locus_name	locus_numeric_id	record_id	organism	Species	Group	Class	Superorder	Order	host_family	host_genus	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	locus_structure	sequence_length
Kryptolebias_marmoratus_325120	ecv-circo.200-actinopterygii-con	200	1832	Kryptolebias_marmoratus	Kryptolebias marmoratus	Vertebrates	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Kryptolebias	low_coverage	v1	GCA_001649575.1_ASM164957v1_genomic.fna	LWHD01000287.1	-	325120	325500	Rep[Anguilla-anguilla-circovirus(-)]	381
Kryptolebias_marmoratus_328047	ecv-circo.200-actinopterygii-con	200	1878	Kryptolebias_marmoratus	Kryptolebias marmoratus	Vertebrates	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Kryptolebias	low_coverage	v1	GCA_001649575.1_ASM164957v1_genomic.fna	LWHD01000287.1	+	328047	328415	Rep[Carp-endogenous-circovirus(+)]	369
Kryptolebias_marmoratus_1233	ecv-circo.200-actinopterygii-con	200	1931	Kryptolebias_marmoratus	Kryptolebias marmoratus	Vertebrates	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Kryptolebias	low_coverage	v1	GCA_001649575.1_ASM164957v1_genomic.fna	LWHD01000494.1	-	1233	2199	Rep[Barbel-circovirus(-)]	967
Bregmaceros_cantori_4746	ecv-circo.200-actinopterygii-con	200	2083	Bregmaceros_cantori	Bregmaceros cantori	Vertebrates	Actinopteri	Unclassified	Gadiformes	Bregmacerotidae	Bregmaceros	low_coverage	ASM90030239v1	GCA_900302395.1_ASM90030239v1_genomic.fna	OMKY01210332.1	-	4746	5561	Rep[Barbel-circovirus(-)]	816
Paramormyrops_kingsleyae_581533	ecv-circo.200-actinopterygii-con	200	1617	Paramormyrops_kingsleyae	Paramormyrops kingsleyae	Vertebrates	Actinopteri	Unclassified	Osteoglossiformes	Mormyridae	Paramormyrops	low_coverage	PKING1	GCA_002872115.1_PKINGS_0.1_genomic.fna	PGUA01000292.1	+	581533	582165	Rep[Barbel-circovirus(+)]	633
Paramormyrops_kingsleyae_203700	ecv-circo.200-actinopterygii-con	200	2104	Paramormyrops_kingsleyae	Paramormyrops kingsleyae	Vertebrates	Actinopteri	Unclassified	Osteoglossiformes	Mormyridae	Paramormyrops	low_coverage	PKING1	GCA_002872115.1_PKINGS_0.1_genomic.fna	PGUA01000398.1	+	203700	204047	Rep[Barbel-circovirus(+)]	348
Chaenocephalus_aceratus_2419	ecv-circo.200-actinopterygii-con	200	1500	Chaenocephalus_aceratus	Chaenocephalus aceratus	Vertebrates	Actinopteri	Unclassified	Perciformes	Channichthyidae	Chaenocephalus	low_coverage	ASM90030267v1	GCA_900302675.1_ASM90030267v1_genomic.fna	OMOC01059069.1	-	2419	3045	Rep[Barbel-circovirus(-)]	627
Chaenocephalus_aceratus_1736	ecv-circo.200-actinopterygii-con	200	2202	Chaenocephalus_aceratus	Chaenocephalus aceratus	Vertebrates	Actinopteri	Unclassified	Perciformes	Channichthyidae	Chaenocephalus	low_coverage	ASM90030267v1	GCA_900302675.1_ASM90030267v1_genomic.fna	OMOC01089202.1	-	1736	3369	Rep[Barbel-circovirus(-)]	1634
Perca_fluviatilis_568872	ecv-circo.200-actinopterygii-con	200	1431	Perca_fluviatilis	Perca fluviatilis	Vertebrates	Actinopteri	Unclassified	Perciformes	Percidae	Perca	low_coverage	UTU_Pfluv_1.1	GCA_003412525.1_UTU_Pfluv_1.1_genomic.fna	QFAT01024028.1	-	568872	569153	Rep[Barbel-circovirus(-)]	282
Salmo_salar_86482848	ecv-circo.200-actinopterygii-con	200	1494	Salmo_salar	Salmo salar	Vertebrates	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Salmo	complete	ICASG_v2	ssa_ref_ICSASG_v2_chrssa11.fa	gi|925216723|ref|NC_027310.1|	-	86482848	86483208	Rep[Silurus-glanis-circovirus(-)]	361
Salmo_salar_70546551	ecv-circo.200-actinopterygii-con	200	2171	Salmo_salar	Salmo salar	Vertebrates	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Salmo	complete	ICASG_v2	ssa_ref_ICSASG_v2_chrssa18.fa	gi|925216706|ref|NC_027317.1|	+	70546551	70547003	Rep[Barbel-circovirus(+)]	453
Salmo_salar_39771746	ecv-circo.200-actinopterygii-con	200	2356	Salmo_salar	Salmo salar	Vertebrates	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Salmo	complete	ICASG_v2	ssa_ref_ICSASG_v2_chrssa02.fa	gi|925216780|ref|NC_027301.1|	-	39771746	39771907	Rep[Carp-endogenous-circovirus(-)]	162
Stylephorus_chordatus_686	ecv-circo.200-actinopterygii-con	200	1528	Stylephorus_chordatus	Stylephorus chordatus	Vertebrates	Actinopteri	Unclassified	Stylephoriformes	Stylephoridae	Stylephorus	low_coverage	ASM90031261v1	GCA_900312615.1_ASM90031261v1_genomic.fna	OMPB01049283.1	+	686	883	Rep[Anguilla-anguilla-circovirus(+)]	198
Parambassis_ranga_74524	ecv-circo.200-actinopterygii-con	200	1349	Parambassis_ranga	Parambassis ranga	Vertebrates	Actinopteri	Unclassified	Unclassified	Ambassidae	Pseudambassis	low_coverage	fParRan2.1	GCA_900651595.1_fParRan2.1_alternate_haplotype_genomic.fna	CAABQF010001166.1	+	74524	76105	Rep[Barbel-circovirus(+)]	1582
Acanthochromis_polyacanthus_120302	ecv-circo.200-actinopterygii-con	200	1338	Acanthochromis_polyacanthus	Acanthochromis polyacanthus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01001830.1	+	120302	120903	Rep[Columbid-circovirus(+)]	602
Acanthochromis_polyacanthus_166050	ecv-circo.200-actinopterygii-con	200	1448	Acanthochromis_polyacanthus	Acanthochromis polyacanthus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01000194.1	+	166050	166705	Rep[Carp-endogenous-circovirus(+)]	656
Acanthochromis_polyacanthus_1033535	ecv-circo.200-actinopterygii-con	200	1613	Acanthochromis_polyacanthus	Acanthochromis polyacanthus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01000067.1	+	1033535	1034110	Rep[Barbel-circovirus(+)]	576
Acanthochromis_polyacanthus_900	ecv-circo.200-actinopterygii-con	200	1939	Acanthochromis_polyacanthus	Acanthochromis polyacanthus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01003690.1	+	900	1646	Rep[Barbel-circovirus(+)]	747
Acanthochromis_polyacanthus_97321	ecv-circo.200-actinopterygii-con	200	2094	Acanthochromis_polyacanthus	Acanthochromis polyacanthus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01002075.1	+	97321	97647	Rep[Barbel-circovirus(+)]	327
Amphiprion_frenatus_345589	ecv-circo.200-actinopterygii-con	200	1538	Amphiprion_frenatus	Amphiprion frenatus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019372937.1	+	345589	345783	Rep[Mink-circovirus(+)]	195
Amphiprion_frenatus_7867	ecv-circo.200-actinopterygii-con	200	1666	Amphiprion_frenatus	Amphiprion frenatus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019371920.1	-	7867	8271	Rep[Barbel-circovirus(-)]	405
Amphiprion_frenatus_3657	ecv-circo.200-actinopterygii-con	200	1842	Amphiprion_frenatus	Amphiprion frenatus	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019373480.1	-	3657	3836	Rep[Cyclovirus-ZM36a(-)]	180
Amphiprion_ocellaris_7867	ecv-circo.200-actinopterygii-con	200	1442	Amphiprion_ocellaris	Amphiprion ocellaris	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019371920.1	-	7867	8271	Rep[Barbel-circovirus(-)]	405
Amphiprion_ocellaris_3657	ecv-circo.200-actinopterygii-con	200	1662	Amphiprion_ocellaris	Amphiprion ocellaris	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019373480.1	-	3657	3836	Rep[Cyclovirus-ZM36a(-)]	180
Amphiprion_ocellaris_345589	ecv-circo.200-actinopterygii-con	200	2207	Amphiprion_ocellaris	Amphiprion ocellaris	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019372937.1	+	345589	345783	Rep[Mink-circovirus(+)]	195
Amphiprion_percula_21027960	ecv-circo.200-actinopterygii-con	200	1392	Amphiprion_percula	Amphiprion percula	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	Nemo_v1	GCA_003047355.1_Nemo_v1_genomic.fna	CM009716.1	+	21027960	21028262	Rep[Beak-and-feather-disease-virus(+)]	303
Amphiprion_percula_8106303	ecv-circo.200-actinopterygii-con	200	1423	Amphiprion_percula	Amphiprion percula	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	Nemo_v1	GCA_003047355.1_Nemo_v1_genomic.fna	CM009720.1	+	8106303	8106614	Rep[Silurus-glanis-circovirus(+)]	312
Amphiprion_percula_31227260	ecv-circo.200-actinopterygii-con	200	2337	Amphiprion_percula	Amphiprion percula	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	low_coverage	Nemo_v1	GCA_003047355.1_Nemo_v1_genomic.fna	CM009711.1	-	31227260	31227454	Rep[Mink-circovirus(-)]	195
Chromis_chromis_3848	ecv-circo.200-actinopterygii-con	200	2154	Chromis_chromis	Chromis chromis	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Chromis	low_coverage	ASM90030275v1	GCA_900302755.1_ASM90030275v1_genomic.fna	OMNN01088615.1	+	3848	4018	Rep[Mink-circovirus(+)]	171
Chromis_chromis_7327	ecv-circo.200-actinopterygii-con	200	2185	Chromis_chromis	Chromis chromis	Vertebrates	Actinopteri	Unclassified	Unclassified	Pomacentridae	Chromis	low_coverage	ASM90030275v1	GCA_900302755.1_ASM90030275v1_genomic.fna	OMNN01024441.1	+	7327	8183	Rep[Barbel-circovirus(+)]	857
Rhinella_marina_10309	ecv-circo.151-anura	151	1430	Rhinella_marina	Rhinella marina	Vertebrates	Amphibia	Batrachia	Anura	Bufonidae	Rhinella	low_coverage	GCA_900303285	GCA_900303285.1_RM170330_genomic.fna	ONZH01013614.1	-	10309	11108	Rep[Barbel-circovirus(-)]	800
Rhinella_marina_5127	ecv-circo.151-anura	151	1598	Rhinella_marina	Rhinella marina	Vertebrates	Amphibia	Batrachia	Anura	Bufonidae	Rhinella	low_coverage	GCA_900303285	GCA_900303285.1_RM170330_genomic.fna	ONZH01000128.1	-	5127	5995	Rep[Finch-circovirus(-)]	869
Rhinella_marina_21921	ecv-circo.151-anura	151	1736	Rhinella_marina	Rhinella marina	Vertebrates	Amphibia	Batrachia	Anura	Bufonidae	Rhinella	low_coverage	GCA_900303285	GCA_900303285.1_RM170330_genomic.fna	ONZH01013614.1	-	21921	22581	Rep[Silurus-glanis-circovirus(-)]	661
Rhinella_marina_14221	ecv-circo.151-anura	151	2052	Rhinella_marina	Rhinella marina	Vertebrates	Amphibia	Batrachia	Anura	Bufonidae	Rhinella	low_coverage	GCA_900303285	GCA_900303285.1_RM170330_genomic.fna	ONZH01019639.1	+	14221	14766	Rep[Silurus-glanis-circovirus(+)]	546
Rhinella_marina_26339	ecv-circo.151-anura	151	2429	Rhinella_marina	Rhinella marina	Vertebrates	Amphibia	Batrachia	Anura	Bufonidae	Rhinella	low_coverage	GCA_900303285	GCA_900303285.1_RM170330_genomic.fna	ONZH01003036.1	-	26339	26884	Rep[Silurus-glanis-circovirus(-)]	546
Xenopus_tropicalis_126615975	ecv-circo.151-anura	151	1704	Xenopus_tropicalis	Xenopus tropicalis	Vertebrates	Amphibia	Batrachia	Anura	Pipidae	Xenopus	low_coverage	v7_2015-06-19	str_ref_Xtropicalis_v7_chrUn.fa	gi|510884120|ref|NW_004668236.1|	-	126615975	126616313	Rep[Barbel-circovirus(-)]	339
Rana_catesbeiana_29850	ecv-circo.151-anura	151	1294	Rana_catesbeiana	Rana catesbeiana	Vertebrates	Amphibia	Batrachia	Anura	Ranidae	Rana	low_coverage	RCv2.1	GCA_002284835.2_RCv2.1_genomic.fna	KV950097.1	-	29850	30158	Rep[Silurus-glanis-circovirus(-)]	309
Microcaecilia_unicolor_245063670	ecv-circo.150-microcaecilia	150	1417	Microcaecilia_unicolor	Microcaecilia unicolor	Vertebrates	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044035.1	-	245063670	245064223	Rep[Barbel-circovirus(-)]	554
Microcaecilia_unicolor_92436510	ecv-circo.150-microcaecilia	150	1549	Microcaecilia_unicolor	Microcaecilia unicolor	Vertebrates	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044031.1	+	92436510	92436809	Rep[Florida-woods-cockroach-associated-cyclovirus(+)]	300
Microcaecilia_unicolor_682276231	ecv-circo.150-microcaecilia	150	1681	Microcaecilia_unicolor	Microcaecilia unicolor	Vertebrates	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044031.1	-	682276231	682276503	Rep[Columbid-circovirus(-)]	273
Microcaecilia_unicolor_115328509	ecv-circo.150-microcaecilia	150	1700	Microcaecilia_unicolor	Microcaecilia unicolor	Vertebrates	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044033.1	+	115328509	115328865	Rep[Columbid-circovirus(+)]	357
Microcaecilia_unicolor_52165319	ecv-circo.150-microcaecilia	150	1810	Microcaecilia_unicolor	Microcaecilia unicolor	Vertebrates	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044042.1	-	52165319	52166998	Rep[Silurus-glanis-circovirus(-)]	1680
