id	virus_name	full_name	virus_family	virus_genus	virus_clade	organism	Phylum	Class	Superorder	Order	Family	Genus	NumericID	scaffold	extract_start	extract_end	sequence_length	orientation	assigned_name	assigned_gene	subject_start	subject_end
Varroa-11	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	11	ADDG01031766.1	2280	2567	288	-	Florida-woods-cockroach-associated-cyclovirus	Rep	73	157
Varroa-12	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	12	ADDG01033538.1	1449	1955	507	-	Dragonfly-cyclovirus-5	Rep	62	231
Varroa-13	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	13	ADDG01043406.1	1382	1912	531	-	Silurus-glanis-circovirus	Rep	110	279
Varroa-14	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	14	ADDG01053339.1	883	1467	585	+	Silurus-glanis-circovirus	Rep	33	222
Varroa-15	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	15	ADDG01057537.1	971	1504	534	-	Human-cyclovirus	Rep	130	273
Varroa-16	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	16	ADDG01066173.1	1053	1556	504	-	Anguilla-anguilla-circovirus	Rep	102	255
Varroa-17	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	17	ADDG01068269.1	171	299	129	-	Florida-woods-cockroach-associated-cyclovirus	Rep	114	155
Varroa-18	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	18	ADDG01069300.1	383	727	345	-	Silurus-glanis-circovirus	Rep	110	199
Varroa-19	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	19	ADDG01070450.1	1027	1533	507	-	Dragonfly-cyclovirus-2	Rep	80	195
Varroa-20	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	20	ADDG01071768.1	46	450	405	+	Dragonfly-cyclovirus-4	Rep	126	263
Varroa-21	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	21	ADDG01114935.1	421	885	465	+	Dragonfly-cyclovirus-3	Rep	48	182
Varroa-22	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	22	ADDG01121481.1	234	497	264	-	Cyclovirus-ZM36a	Rep	8	94
Varroa-23	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	23	ADDG01140645.1	101	448	348	-	Silurus-glanis-circovirus	Rep	88	199
Varroa-24	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	24	ADDG01145803.1	125	571	447	-	Anguilla-anguilla-circovirus	Rep	127	264
Varroa-25	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	25	ADDG01153508.1	116	508	393	+	Human-cyclovirus	Rep	127	251
Varroa-26	ECV.Varroa	Varroa endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Varroa_destructor	Arthropoda	Arachnida	Parasitiformes	Mesostigmata	Varroidae	Varroa	26	ADDG01177121.1	67	330	264	+	Dragonfly-cyclovirus-3	Rep	57	142
Loxosceles-27	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	27	JJRW01S0000222.1	237566	238039	474	+	Circo-like-virus-Brazil-hs1	putative-Rep-protein	76	234
Loxosceles-28	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	28	JJRW01S0001858.1	99328	99921	594	-	Columbid-circovirus	Rep	38	237
Loxosceles-29	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	29	JJRW01S0002407.1	164595	165113	519	-	Circoviridae-5-LDMD-2013	replication-associated-protein	8	175
Loxosceles-30	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	30	JJRW01S0002626.1	81774	82400	627	+	Columbid-circovirus	Rep	38	247
Loxosceles-31	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	31	JJRW01S0002856.1	87533	87733	201	+	Anguilla-anguilla-circovirus	Rep	179	243
Loxosceles-32	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	32	JJRW01S0004644.1	84508	85224	717	+	Columbid-circovirus	Rep	38	278
Loxosceles-33	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	33	JJRW01S0009629.1	82443	83180	738	-	Gull-circovirus	Rep	59	282
Loxosceles-34	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	34	JJRW01S0010958.1	28467	28856	390	+	Circoviridae-5-LDMD-2013	replication-associated-protein	52	175
Loxosceles-35	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	35	JJRW01S0013709.1	6802	7344	543	+	Circoviridae-5-LDMD-2013	replication-associated-protein	58	218
Loxosceles-36	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	36	JJRW01S0014832.1	54268	54537	270	-	Beak-and-feather-disease-virus	Rep	164	253
Loxosceles-37	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	37	JJRW01S0018156.1	23032	23685	654	-	Columbid-circovirus	Rep	38	257
Loxosceles-38	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	38	JJRW01S0019551.1	25025	25156	132	-	Bat-circovirus	Rep	202	245
Loxosceles-39	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	39	JJRW01S0021352.1	7992	8615	624	+	Gull-circovirus	Rep	25	238
Loxosceles-40	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	40	JJRW01S0037038.1	4482	4703	222	-	Circovirus-like-genome-SAR-B	Rep	7	94
Loxosceles-41	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	41	JJRW01S0047393.1	7439	7867	429	+	Beak-and-feather-disease-virus	Rep	166	277
Loxosceles-42	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	42	JJRW01S0048805.1	3631	4086	456	-	Zebra-finch-circovirus	Rep	155	252
Loxosceles-43	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	43	JJRW01S0055860.1	15115	15624	510	-	Raven-circovirus	Rep	162	252
Loxosceles-44	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	44	JJRW01S0058922.1	2901	3242	342	-	Beak-and-feather-disease-virus	Rep	173	277
Loxosceles-45	ECV.Loxosceles	Loxosceles endogenous circoviral element	CRESS	CRESS	Unclassified	Loxosceles_reclusa	Arthropoda	Arachnida	Unclassified	Araneae	Sicariidae	Loxosceles	45	JJRW01S0132782.1	37	276	240	+	Circovirus-like-genome-SAR-B	Rep	7	101
Oryctes-46	ECV.Oryctes	Oryctes endogenous circoviral element	CRESS	CRESS	Unclassified	Oryctes_borbonicus	Arthropoda	Insecta	Unclassified	Coleoptera	Scarabaeidae	Oryctes	46	LJIG01000821.1	43997	44530	534	+	Silurus-glanis-circovirus	Rep	69	231
Ephydra-47	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	47	JXOS01098324.1	612	1325	714	+	Circovirus-like-genome-RW-E	Rep	28	261
Ephydra-48	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	48	JXOS01098324.1	612	1319	708	+	Circovirus-like-genome-RW-E	Rep	28	261
Ephydra-49	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	49	JXOS01098325.1	528	1373	846	+	Circovirus-like-genome-RW-E	Rep	6	261
Ephydra-50	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	50	JXOS01098325.1	528	1367	840	+	Circovirus-like-genome-RW-E	Rep	6	261
Ephydra-51	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	51	JXOS01159402.1	2676	3664	989	-	Dragonfly-cyclovirus-2	Rep	50	200
Ephydra-52	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	52	JXOS01159402.1	2676	3664	989	-	Dragonfly-cyclovirus-2	Rep	50	200
Ephydra-53	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	53	JXOS01159563.1	1	174	174	+	Porcine-circovirus-type-1-2a	Rep	228	285
Ephydra-54	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	54	JXOS01159563.1	1	174	174	+	Porcine-circovirus-type-1-2a	Rep	228	285
Ephydra-55	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	55	JXOS01159563.1	2782	3543	762	+	Canine-circovirus	Rep	28	229
Ephydra-56	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	56	JXOS01159563.1	2812	3543	732	+	Canine-circovirus	Rep	28	229
Ephydra-57	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	57	JXOS01171080.1	12	716	705	+	Circo-like-virus-Brazil-hs1	putative-Rep-protein	50	282
Ephydra-58	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	58	JXOS01171080.1	12	704	693	+	Circo-like-virus-Brazil-hs1	putative-Rep-protein	50	279
Ephydra-59	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	59	JXOS01171624.1	2058	2918	861	-	Circoviridae-5-LDMD-2013	replication-associated-protein	7	274
Ephydra-60	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	60	JXOS01171624.1	2058	2927	870	-	Circoviridae-5-LDMD-2013	replication-associated-protein	7	274
Ephydra-61	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Cirrula_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	61	JXOS01171699.1	202	1071	870	+	Circovirus-like-genome-RW-A	Rep	6	288
Ephydra-62	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_hians	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	62	JXOS01171699.1	202	1071	870	+	Circovirus-like-genome-RW-A	Rep	6	288
Ephydra-63	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	63	JXPQ01049171.1	678	1001	324	-	Anguilla-anguilla-circovirus	Rep	7	108
Ephydra-64	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	64	JXPQ01050875.1	272	778	507	-	Dragonfly-cyclovirus-2	Rep	50	216
Ephydra-65	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	65	JXPQ01055947.1	3398	3697	300	+	Circoviridae-21-LDMD-2013	replication-associated-protein	61	123
Ephydra-66	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	66	JXPQ01059812.1	1278	1616	339	-	Circoviridae-21-LDMD-2013	replication-associated-protein	173	263
Ephydra-67	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	67	JXPQ01060224.1	3	620	618	+	Anguilla-anguilla-circovirus	Rep	74	269
Ephydra-68	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	68	JXPQ01060401.1	225	1055	831	-	Circoviridae-13-LDMD-2013	replication-associated-protein	2	269
Ephydra-69	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	69	JXPQ01060872.1	537	1406	870	-	Circovirus-like-genome-RW-A	Rep	6	288
Ephydra-70	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	70	JXPQ01060958.1	484	1431	948	-	Circovirus-like-genome-RW-A	Rep	2	306
Ephydra-71	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	71	JXPQ01061090.1	819	1409	591	+	Gull-circovirus	Rep	23	191
Ephydra-72	ECV.Ephydra	Ephydra endogenous circoviral element	CRESS	CRESS	Unclassified	Ephydra_gracilis	Arthropoda	Insecta	Unclassified	Diptera	Ephydridae	Ephydra	72	JXPQ01061379.1	370	1167	798	+	Porcine-circovirus-2	Rep	94	281
Pseudomyrmex-73	ECV.Pseudomyrmex	Pseudomyrmex endogenous circoviral element	Circoviridae	Cyclovirus	Unclassified	Pseudomyrmex_gracilis	Arthropoda	Insecta	Unclassified	Hymenoptera	Formicidae	Pseudomyrmex	73	NW_018020803.1	10595	11281	687	-	Dragonfly-cyclovirus-2	Rep	95	318
Parhyale-74	ECV.Parhyale	Parhyale endogenous circoviral element	CRESS	CRESS	Unclassified	Parhyale_hawaiensis	Arthropoda	Malacostraca	Peracarida	Amphipoda	Hyalidae	Parhyale	74	LQNS01005040.1	115922	116197	276	-	Starling-circovirus	Rep	9	93
Parhyale-75	ECV.Parhyale	Parhyale endogenous circoviral element	CRESS	CRESS	Unclassified	Parhyale_hawaiensis	Arthropoda	Malacostraca	Peracarida	Amphipoda	Hyalidae	Parhyale	75	LQNS01017328.1	5880	6143	264	+	Carp-endogenous-circovirus	Rep	10	95
Parhyale-76	ECV.Parhyale	Parhyale endogenous circoviral element	CRESS	CRESS	Unclassified	Parhyale_hawaiensis	Arthropoda	Malacostraca	Peracarida	Amphipoda	Hyalidae	Parhyale	76	LQNS01019884.1	15921	16806	886	+	Carp-endogenous-circovirus	Rep	10	96
Caligus-77	ECV.Caligus	Caligus endogenous circoviral element	CRESS	CRESS	Unclassified	Caligus_rogercresseyi	Arthropoda	Maxillopoda	Podoplea	Siphonostomatoida	Caligidae	Caligus	77	LBBV01001826.1	813	1712	900	-	Circovirus-like-genome-RW-C	Rep	6	269
Caligus-78	ECV.Caligus	Caligus endogenous circoviral element	CRESS	CRESS	Unclassified	Caligus_rogercresseyi	Arthropoda	Maxillopoda	Podoplea	Siphonostomatoida	Caligidae	Caligus	78	LBBV01020641.1	5	838	834	+	Circovirus-like-genome-RW-C	Rep	34	268
Caligus-79	ECV.Caligus	Caligus endogenous circoviral element	CRESS	CRESS	Unclassified	Caligus_rogercresseyi	Arthropoda	Maxillopoda	Podoplea	Siphonostomatoida	Caligidae	Caligus	79	LBBV01153846.1	1454	2350	897	-	Acartia-tonsa-copepod-circovirus	Rep	100	326
Caligus-80	ECV.Caligus	Caligus endogenous circoviral element	CRESS	CRESS	Unclassified	Caligus_rogercresseyi	Arthropoda	Maxillopoda	Podoplea	Siphonostomatoida	Caligidae	Caligus	80	LBBV01285320.1	1729	2010	282	-	Circoviridae-16-LDMD-2013	replication-associated-protein	146	234
Morbakka-115	ECV.Morbakka	Morbakka endogenous circoviral element	CRESS	CRESS	Unclassified	Morbakka_virulenta	Cnidaria	Cubozoa	Unclassified	Carybdeida	Carukiidae	Morbakka	115	RDPX01000056.1	2369166	2369507	342	+	Mink-circovirus	Rep	7	117
Morbakka-116	ECV.Morbakka	Morbakka endogenous circoviral element	CRESS	CRESS	Unclassified	Morbakka_virulenta	Cnidaria	Cubozoa	Unclassified	Carybdeida	Carukiidae	Morbakka	116	RDPX01000056.1	2372621	2373043	423	+	Columbid-circovirus	Rep	37	161
Morbakka-117	ECV.Morbakka	Morbakka endogenous circoviral element	CRESS	CRESS	Unclassified	Morbakka_virulenta	Cnidaria	Cubozoa	Unclassified	Carybdeida	Carukiidae	Morbakka	117	RDPX01000056.1	2376958	2377398	441	+	Silurus-glanis-circovirus	Rep	33	141
Hydra-81	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	81	PJUU01004432.1	689	1246	558	+	Circo-like-virus-Brazil-hs1	putative-Rep-protein	85	257
Hydra-82	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	82	PJUU01005117.1	1322	2071	750	-	Gull-circovirus	Rep	24	260
Hydra-83	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	83	PJUU01054523.1	1435	2202	768	-	Raven-circovirus	Rep	12	252
Hydra-84	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	84	PJUU01063878.1	136	885	750	-	Gull-circovirus	Rep	24	260
Hydra-85	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	85	PJUU01064798.1	2537	3280	744	+	Raven-circovirus	Rep	13	245
Hydra-86	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	86	PJUU01064798.1	4686	5540	855	+	Raven-circovirus	Rep	13	256
Hydra-87	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	87	PJUU01064798.1	6841	8705	1865	+	Mulard-duck-circovirus	Rep	12	255
Hydra-88	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	88	PJUU01065676.1	2415	3164	750	-	Gull-circovirus	Rep	24	260
Hydra-89	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	89	PJUU01065896.1	136	1765	1630	-	Gull-circovirus	Rep	16	260
Hydra-90	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	90	PJUU01073048.1	2021	2758	738	-	Mulard-duck-circovirus	Rep	11	244
Hydra-91	ECV.Hydra	Hydra endogenous circoviral element	CRESS	CRESS	Unclassified	Hydra_viridissima	Cnidaria	Hydrozoa	Unclassified	Anthoathecata	Hydridae	Hydra	91	PJUU01074692.1	3308	4078	771	-	Columbid-circovirus	Rep	39	278
