id	isolate	country	host_sci_name	collection_year
AF311301	-	Australia: Northern Territory	Cacatua galerita	-
AF311302	-	Australia: Western Australia	Cacatua galerita	-
AJ605577	-	-	-	-
AY148285	SCC1	-	Cacatua galerita	-
AY148286	SCC2	-	Cacatua galerita	-
AY148287	SCC3	-	Cacatua galerita	-
AY148288	SCC4	-	Cacatua galerita	-
AY148289	LC1	-	Cacatua tenirostitus	-
AY148290	SCC5	-	Cacatua galerita	-
AY148291	RCL	-	Trichogolossus haematodus rubritorquis	-
AY148292	YBL1	-	Lorius chlorocercus	-
AY148293	RL5	-	Trichogolossus haematodus	-
AY148294	RL2	-	Trichogolossus haematodus	-
AY148295	RL3	-	Trichogolossus haematodus	-
AY148296	BSL1	-	Eos reticulata	-
AY148297	BSL2	-	Eos reticulata	-
AY148298	GL	-	Psitteuteles goldiei	-
AY148299	YBL2	-	Lorius chlorocercus	-
AY148300	RL6	-	Trichogolossus haematodus	-
AY148301	BG3	-	Melopsittacus undulatus	-
AY345131	-	-	-	-
AY450434	WBC1-ZA	-	Pionites leucogaster	-
AY450435	AFG4-ZA	-	Psittacus erithacus	-
AY450436	UC1-ZA	-	Cacatua alba	-
AY450442	BCL1-ZA	-	Agapornis nigrigenis	-
AY450443	AFG3-ZA	-	Psittacus erithacus	-
AY450444	LJP2-ZA	-	-	-
AY450445	BWJ1-ZA	-	-	-
AY450446	LJP1-ZA	-	-	-
AY450447	GJP2-ZA	-	-	-
AY450448	ARB2-ZA	-	-	-
AY450449	ARB3-ZA	-	-	-
AY450450	UC2-ZA	-	-	-
AY450451	SM1-ZA	-	-	-
AY450452	ARB1-ZA	-	-	-
AY518516	CG1	USA	Cacatua galerita	-
AY518899	-	Germany	Psittacus eritacus	-
AY518900	-	USA	Psittacula kramerii	-
AY518901	-	Portugal	Psittacus eritacus	-
AY518902	-	Germany	Psittacus eritacus	-
AY518903	-	Germany	Amazona aestiva	-
AY518904	-	United Kingdom	Psittacus eritacus	-
AY518905	-	Japan	Psittacus eritacus	-
AY518906	-	India	Psittacus eritacus	-
AY518907	-	USA	Agapornis roseicollis	-
AY518908	-	USA	Agapronis roseicollis	-
AY518909	-	United Kingdom	Agapornis roseicollis	-
AY518910	-	Portugal	Psittacus eritacus	-
AY518911	-	Germany	Amazona aestiva	-
AY518912	-	Portugal	Psittacus eritacus	-
AY518913	-	New Zealand	Trichoglossus haematodus	-
AY518914	-	Germany	Psittacus eritacus	-
AY518915	-	Germany	Psittacus eritacus	-
AY518916	-	Spain	Aratinga solstitalis	-
AY518917	-	USA	Eclectus roratus	-
AY518918	-	United Kingdom	Agapornis roseicollis	-
AY518919	-	United Kingdom	Agapornis roseicollis	-
AY518920	-	Germany	Psittacus eritacus	-
AY518921	-	Saudi Arabia	Cacatua haematuropygia	-
AY518922	-	Saudi Arabia	Cacatua leadbeateri	-
AY518923	-	USA	Cacatua moluccensis	-
AY518924	-	United Kingdom	Amazona autumnalis	-
AY518925	-	USA	Poicephalus senegalensis	-
AY518926	-	Puerto Rico	Psittacus eritacus	-
AY518927	-	USA	Psittacus eritacus	-
AY518928	-	USA	Psittacus eritacus	-
AY518929	-	USA	Psittacula kramerii	-
AY518930	-	Israel	Eolophus roseicapillus	-
AY518931	-	USA	Ara militaris	-
AY518932	-	United Kingdom	Coracopsis vasa	-
AY521234	-	USA: Texas	Psittacula kramerii	-
AY521236	-	Portugal	Psittacus eritacus	-
AY521237	-	Germany	Psittacus eritacus	-
AY521238	-	United Kingdom	Psittacus eritacus	-
CS449877	-	-	-	-
CS449878	-	-	-	-
CS449879	-	-	-	-
CS449896	-	-	-	-
CS449897	-	-	-	-
CS449898	-	-	-	-
DQ016388	1-RL-NSW	Australia	Trichoglossus haematodus	-
DQ016389	2-RL-NSW	Australia	Trichoglossus haematodus	-
DQ016390	3-SP-TAS	Australia	Lathamus discolour	-
DQ016391	4-SP-TAS	Australia	Lathamus discolour	-
DQ016392	5-RL-VIC	Australia	Trichoglossus haematodus	-
DQ016393	6-ML-WA	Australia	Glossopsitta concinna	-
DQ016394	7-RL-WA	Australia	Trichoglossus haematodus	-
DQ016395	8-RCL-WA	Australia	Trichoglossus haematodus rubritorquis	-
DQ016396	9-RL-NSW	Australia	Trichoglossus haematodus rubritorquis	-
DQ304738	-	Taiwan	blue-streaked lory (Eos reticulate)	-
DQ304739	-	Taiwan	blue-streaked lory (Eos reticulate)	-
DQ304740	-	Taiwan	African grey parrot (Psittacus erithacus)	-
DQ304741	-	Taiwan	African grey parrot (Psittacus erithacus)	-
DQ304742	-	Taiwan	blue & yellow macaw (Ara ararauna)	-
DQ304743	-	Taiwan	African grey parrot (Psittacus erithacus)	-
DQ304744	-	Taiwan	yellow-naped Amazon (Amazona auropalliata)	-
DQ304745	-	Taiwan	African grey parrot (Psittacus erithacus)	-
DQ304746	-	Taiwan	red-rumped parakeet (Psephotus haematonotus)	-
DQ304747	-	Taiwan	African grey parrot (Psittacus erithacus)	-
DQ304748	-	Taiwan	Pacific parroleet (Forpus coelestis)	-
DQ304749	-	Taiwan	Eclectus parrot (Eclectus roratus)	-
DQ304750	-	Taiwan	Eclectus parrot (Eclectus roratus)	-
DQ304751	-	Taiwan	sulphur-crested cockatoo (Cacatua galerita)	-
DQ304752	-	Taiwan	sulphur-crested cockatoo (Cacatua galerita)	-
DQ304753	-	Taiwan	Eclectus parrot (Eclectus roratus)	-
DQ304754	-	Taiwan	yellow-naped Amazon (Amazona auropalliata)	-
DQ304755	-	Taiwan	sulphur-crested cockatoo (Cacatua galerita)	-
DQ304756	-	Taiwan	budgerigar (Melopsittacus undulatus)	-
DQ304757	-	Taiwan	budgerigar (Melopsittacus undulatus)	-
DQ304758	-	Taiwan	budgerigar (Melopsittacus undulatus)	-
DQ384621	UFS2	South Africa	Psittacula krameri	-
DQ384622	UFS1	South Africa	Psittacula krameri	-
DQ384623	UFS3	South Africa	Melopsittacus undulatus	-
DQ384624	UFS4	South Africa	Melopsittacus undulatus	-
DQ384625	UFS5	South Africa	Melopsittacus undulatus	-
DQ384626	UFS6	South Africa	Poicephalus gulielmi massaicus	-
DQ397815	HHP1-ZA	-	-	-
DQ397816	HHP1-ZA	-	-	-
DQ397817	AFG5-ZA	-	-	-
DQ397818	CPA10-ZA	-	-	-
EF457974	05-106	Australia	Nymphicus hollandicus	-
EF457975	05-726	Australia	Nymphicus hollandicus	-
EU093967	CaCvBR18	Brazil	Serinus canaria	2004
EU093968	CaCvBR19	Brazil	Serinus canaria	2004
EU093969	PBFDVBR02	Brazil	Melopsittacus undulatus	2004
EU093970	CaCvBR20	Brazil	Serinus canaria	2004
EU093971	PBFDVBR42	Brazil	Amazona amazonica	2004
EU093972	PBFDVBR03	Brazil	Psittacula krameri	2004
EU093973	PBFDVBR07	Brazil	Amazona aestiva	2004
EU093974	PBFDVBR08	Brazil	Psittacula krameri	2004
EU093976	PBFDVBR15	Brazil	Guarouba guarouba	2004
EU093977	PBFDVBR17	Brazil	Guarouba guarouba	2004
EU093978	PBFDVBR25	Brazil	Amazona aestiva	2004
EU093979	PBFDVBR41	Brazil	Melopsittacus undulatus	2005
EU139440	-	Czech Republic	Amazona aestiva	-
EU139441	-	Czech Republic	Agapornis roseicollis	-
EU139442	-	Slovakia	Agapornis roseicollis	-
EU139443	-	Czech Republic	Agapornis roseicollis	-
EU139444	-	Czech Republic	Agapornis roseicollis	-
EU139445	-	Czech Republic	Agapornis sp.	-
EU139446	-	Slovakia	Cacatua alba	-
EU139447	-	Czech Republic	Cacatua galerita	-
EU139448	-	Czech Republic	Cacatua leadbeateri	-
EU139449	-	Slovakia	Cacatua sulphurea	-
EU139450	-	Czech Republic	Eunymphicus cornutus	-
EU139451	-	Czech Republic	Eclectus roratus	-
EU139452	-	Czech Republic	Lorius chlorocercus	-
EU139453	-	Czech Republic	Melopsittacus undulatus	-
EU139454	-	Slovakia	Melopsittacus undulatus	-
EU139455	-	Czech Republic	Melopsittacus undulatus	-
EU139456	-	Czech Republic	Melopsittacus undulatus	-
EU139457	-	Czech Republic	Probosciger aterrimus	-
EU139458	-	Czech Republic	Poicephalus cryptoxanthus	-
EU139459	-	Czech Republic	Psittacus erithacus	-
EU139460	-	Czech Republic	Psittacus erithacus	-
EU139461	-	Czech Republic	Psittacus erithacus	-
EU139462	-	Czech Republic	Psittacus erithacus	-
EU139463	-	Czech Republic	Psittacus erithacus	-
EU139464	-	Czech Republic	Psittacus erithacus	-
EU139465	-	Czech Republic	Psittacus erithacus	-
EU139466	-	Czech Republic	Platycercus eximius	-
EU139467	-	Czech Republic	Psephotus haematonotus	-
EU139468	-	Czech Republic	Psittacula krameri	-
EU139469	-	Czech Republic	Poicephalus senegalus	-
EU139470	-	Czech Republic	Platycercus venustus	-
EU139471	-	Czech Republic	Trichoglossus haematodus	-
EU624324	PAR	South Africa	Psittacula krameri	-
EU624325	RBKH	South Africa	Poicephalus rufiventris	-
EU624326	DGR	South Africa	Psittacus erithacus	-
EU624327	JKH	South Africa	Poicephalus gulielmi massaicus	-
EU624328	LBR	South Africa	Agapornis roseicollis	-
EU624329	KWS	South Africa	Psittacula krameri	-
EU810207	PT08	Portugal	Psittacus erithacus	2008
EU810208	PT05	Portugal	Psittacus erithacus	2005
FJ685978	BFDV6	Thailand	Cacatua sulphurea	2005
FJ685979	BFDV7	Thailand	Cacatua sulphurea	2005
FJ685980	BFDV8	Thailand	Ara ararauna	2006
FJ685989	BFDV17	Thailand	Cacatua moluccensis	2006
GQ120621	BFDV-PT08-2	Portugal	Psittacus erithacus	2008
GQ165756	BKS1ZA_84	South Africa	Budgerigar	2003
GQ165757	BKS2ZA_85	South Africa	Budgerigar	2003
GQ165758	BKS3ZA_86	South Africa	Budgerigar	2003
GQ329705	PT09	Portugal	Psittacus erithacus	2009
GQ396652	BFDV_NZ_CN_B84b_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GQ396653	BFDV_NZ_CN_B77_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GQ396654	BFDV_NZ_CN_B80_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GQ396655	BFDV_NZ_CN_B78_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GQ396656	BFDV_NZ_CN_B81_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU015012	BFDV1	Thailand	Psittacus erithacus	2005
GU015013	BFDV2	Thailand	Psittacus erithacus	2006
GU015014	BFDV3	Thailand	Psittacula eupatria	2006
GU015015	BFDV4	Thailand	Psittacula eupatria	2006
GU015016	BFDV5	Thailand	Psittacula eupatria	2006
GU015017	BFDV9	Thailand	Ara severa	2006
GU015018	BFDV10	Thailand	Ara nobilis	2006
GU015019	BFDV11	Thailand	Eclectus roratus	2006
GU015020	BFDV12	Thailand	Eclectus roratus	2006
GU015021	BFDV14	Thailand	Ara chloropterus	2009
GU015022	BFDV15	Thailand	Probosciger aterrimus	2006
GU015023	BFDV16	Thailand	Ara ambigua	2006
GU047347	PT09-2	Portugal	Psittacus erithacus	2009
GU936287	BFDV_NZ_PE_B51_2008	New Zealand	Platycercus eximius	2008
GU936288	BFDV_NZ_CN_B195_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936289	BFDV_NZ_CN_B157_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936290	BFDV_NZ_CN_B326_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936291	BFDV_NZ_CN_B79_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936292	BFDV_NZ_CN_B162a_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936293	BFDV_NZ_CN_B133_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936294	BFDV_NZ_CN_B125_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936295	BFDV_NZ_CN_B192_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936296	BFDV_NZ_CN_B127_2008	New Zealand	Cyanoramphus novaezelandiae	2008
GU936297	BFDV_NZ_CN_B162b_2008	New Zealand	Cyanoramphus novaezelandiae	2008
HM565916	-	Saudi Arabia	Psittacus erithacus (African grey parrot)	2008
HM748918	BFDV_ZA_PR_60A_2008	South Africa	Poicephalus robustus	2008
HM748919	BFDV_ZA_PGM_81A_2008	South Africa	Poicephalus gulielmi massaicus	2008
HM748920	BFDV_ZA_PGM_80A_2008	South Africa	Poicephalus gulielmi massaicus	2008
HM748921	BFDV_ZA_PGM_70A_2008	South Africa	Poicephalus gulielmi massaicus	2008
HM748922	BFDV_ZA_PGM_69A_2008	South Africa	Poicephalus gulielmi massaicus	2008
HM748923	BFDV_ZA_PGM_68A_2008	South Africa	Poicephalus gulielmi massaicus	2008
HM748924	BFDV_ZA_Am_83e_2008	South Africa	Amazona sp.	2008
HM748925	BFDV_ZA_Am_83a_2008	South Africa	Amazona sp.	2008
HM748926	BFDV_ZA_ER_78a_2008	South Africa	Eclectus roratus	2008
HM748927	BFDV_ZA_PK_76f_2008	South Africa	Psittacula krameri	2008
HM748928	BFDV_ZA_PK_75A_2008	South Africa	Psittacula krameri	2008
HM748929	BFDV_ZA_PK_74d_2008	South Africa	Psittacula krameri	2008
HM748930	BFDV_ZA_PR_61A_2008	South Africa	Poicephalus robustus	2008
HM748931	BFDV_ZA_PE_55A_2008	South Africa	Poicephalus robustus	2008
HM748932	BFDV_ZA_PR_54b_2008	South Africa	Poicephalus robustus	2008
HM748933	BFDV_ZA_PR_54A_2008	South Africa	Poicephalus robustus	2008
HM748934	BFDV_ZA_PR_51A_2008	South Africa	Poicephalus robustus	2008
HM748935	BFDV_ZA_PR_50A_2008	South Africa	Poicephalus robustus	2008
HM748936	BFDV_ZA_PR_45A_2008	South Africa	Poicephalus robustus	2008
HM748937	BFDV_ZA_PR_42A_2008	South Africa	Poicephalus robustus	2008
HM748938	BFDV_ZA_PR_41a_2008	South Africa	Poicephalus robustus	2008
HM748939	BFDV_ZA_38A_PR_2008	South Africa	Poicephalus robustus	2008
HQ641457	002R06/07	Mauritius	Psittacula krameri	2006
HQ641458	003R06/07	Mauritius	Psittacula krameri	2006
HQ641459	007R06/07	Mauritius	Psittacula krameri	2006
HQ641460	010R06/07	Mauritius	Psittacula krameri	2006
HQ641461	011R06/07	Mauritius	Psittacula krameri	2006
HQ641462	013R06/07	Mauritius	Psittacula krameri	2007
HQ641463	014R06/07	Mauritius	Psittacula krameri	2007
HQ641464	016R06/07	Mauritius	Psittacula krameri	2007
HQ641465	017R06/07	Mauritius	Psittacula krameri	2007
HQ641466	018R06/07	Mauritius	Psittacula krameri	2007
HQ641467	019R06/07	Mauritius	Psittacula krameri	2007
HQ641468	022R06/07	Mauritius	Psittacula krameri	2007
HQ641469	024R06/07	Mauritius	Psittacula krameri	2007
HQ641470	025R06/07	Mauritius	Psittacula krameri	2007
HQ641471	026R06/07	Mauritius	Psittacula krameri	2007
HQ641472	027R06/07	Mauritius	Psittacula krameri	2007
HQ641473	028R06/07	Mauritius	Psittacula krameri	2007
HQ641474	029R06/07	Mauritius	Psittacula krameri	2007
HQ641475	031R06/07	Mauritius	Psittacula krameri	2007
HQ641476	032R06/07	Mauritius	Psittacula krameri	2007
HQ641477	034R05/06	Mauritius	Psittacula krameri	2005
HQ641478	035R06/07	Mauritius	Psittacula krameri	2006
HQ641479	036R06/07	Mauritius	Psittacula krameri	2006
HQ641480	037R95/96	Mauritius	Psittacula krameri	1995
HQ641481	040R05/06	Mauritius	Psittacula krameri	2005
HQ641482	076R07/08	Mauritius	Psittacula krameri	2007
HQ641483	081R06/07	Mauritius	Psittacula krameri	2007
HQ641484	085R07/08	Mauritius	Psittacula krameri	2008
HQ641485	087R07/08	Mauritius	Psittacula krameri	2008
HQ641486	088R07/08	Mauritius	Psittacula krameri	2008
HQ641487	091R07/08	Mauritius	Psittacula krameri	2008
HQ641488	094R07/08	Mauritius	Psittacula krameri	2008
HQ641489	099R07/08	Mauritius	Psittacula krameri	2008
HQ641490	115R06/07	Mauritius	Psittacula krameri	2007
HQ641491	048E95/96	Mauritius	Psittacula echo	1995
HQ641492	056E93/94	Mauritius	Psittacula echo	1993
HQ641493	060E96/97	Mauritius	Psittacula echo	1996
HQ641494	064E05/06	Mauritius	Psittacula echo	2006
HQ641495	065E05/06	Mauritius	Psittacula echo	2006
HQ641496	068E05/06	Mauritius	Psittacula echo	2006
HQ641497	071E05/06	Mauritius	Psittacula echo	2006
HQ641498	078E05/06	Mauritius	Psittacula echo	2006
HQ641499	127E04/05	Mauritius	Psittacula echo	2004
HQ641500	128E04/05	Mauritius	Psittacula echo	2004
HQ641501	130E04/05	Mauritius	Psittacula echo	2004
HQ641502	131E04/05	Mauritius	Psittacula echo	2004
HQ641503	172E05/06	Mauritius	Psittacula echo	2005
HQ641504	173E05/06	Mauritius	Psittacula echo	2006
HQ641505	181E05/06	Mauritius	Psittacula echo	2006
HQ641506	187E05/06	Mauritius	Psittacula echo	2006
HQ641507	207E05/06	Mauritius	Psittacula echo	2005
HQ641508	209E05/06	Mauritius	Psittacula echo	2006
HQ641509	210E05/06	Mauritius	Psittacula echo	2005
HQ641510	214E05/06	Mauritius	Psittacula echo	2005
HQ641511	216E05/06	Mauritius	Psittacula echo	2005
HQ641512	217E05/06	Mauritius	Psittacula echo	2006
HQ641513	219E05/06	Mauritius	Psittacula echo	2005
HQ641514	220E05/06	Mauritius	Psittacula echo	2005
HQ641515	221E05/06	Mauritius	Psittacula echo	2005
HQ641516	223E04/05	Mauritius	Psittacula echo	2005
HQ641517	224E05/06	Mauritius	Psittacula echo	2006
HQ641518	226E05/06	Mauritius	Psittacula echo	2006
HQ641519	229E05/06	Mauritius	Psittacula echo	2006
HQ641520	232E05/06	Mauritius	Psittacula echo	2005
HQ641521	233E05/06	Mauritius	Psittacula echo	2005
HQ641522	234E05/06	Mauritius	Psittacula echo	2006
HQ641523	235E05/06	Mauritius	Psittacula echo	2005
HQ641524	238E05/06	Mauritius	Psittacula echo	2005
HQ641525	240E05/06	Mauritius	Psittacula echo	2005
HQ641526	241E05/06	Mauritius	Psittacula echo	2005
HQ641527	242E05/06	Mauritius	Psittacula echo	2006
HQ641528	244E05/06	Mauritius	Psittacula echo	2005
HQ641529	245E05/06	Mauritius	Psittacula echo	2006
HQ641530	247E05/06	Mauritius	Psittacula echo	2006
HQ641531	248E05/06	Mauritius	Psittacula echo	2006
HQ641532	251E05/06	Mauritius	Psittacula echo	2006
HQ641533	257E06/07	Mauritius	Psittacula echo	2006
HQ641534	272E05/06	Mauritius	Psittacula echo	2006
HQ641535	273E05/06	Mauritius	Psittacula echo	2006
HQ641536	278E06/07	Mauritius	Psittacula echo	2006
HQ641537	281E06/07	Mauritius	Psittacula echo	2006
HQ641538	292E05/06	Mauritius	Psittacula echo	2006
HQ641539	317E06/07	Mauritius	Psittacula echo	2006
HQ641540	322E06/07	Mauritius	Psittacula echo	2006
HQ641541	351E06/07	Mauritius	Psittacula echo	2006
HQ641542	355E06/07	Mauritius	Psittacula echo	2006
HQ641543	356E06/07	Mauritius	Psittacula echo	2006
HQ641544	383E07/08	Mauritius	Psittacula echo	2007
HQ641545	388E07/08	Mauritius	Psittacula echo	2007
HQ641546	390E07/08	Mauritius	Psittacula echo	2007
HQ641547	400E07/08	Mauritius	Psittacula echo	2007
HQ641548	414E07/08	Mauritius	Psittacula echo	2007
HQ641549	438E07/08	Mauritius	Psittacula echo	2007
HQ641550	441E07/08	Mauritius	Psittacula echo	2007
HQ641551	447E07/08	Mauritius	Psittacula echo	2007
HQ641552	449E07/08	Mauritius	Psittacula echo	2007
HQ641553	551E08/09	Mauritius	Psittacula echo	2009
HQ641554	508E08/09	Mauritius	Psittacula echo	2009
HQ641555	528E08/09	Mauritius	Psittacula echo	2009
HQ641556	593E08/09	Mauritius	Psittacula echo	2009
HQ641557	597E08/09	Mauritius	Psittacula echo	2009
HQ641558	474E08/09	Mauritius	Psittacula echo	2009
HQ641559	598E08/09	Mauritius	Psittacula echo	2009
HQ641560	550E08/09	Mauritius	Psittacula echo	2008
HQ641561	611E08/09	Mauritius	Psittacula echo	2008
HQ641562	520E08/09	Mauritius	Psittacula echo	2008
HQ641563	544E08/09	Mauritius	Psittacula echo	2008
HQ662336	048E95/96	Mauritius	Psittacula echo	1995
HQ662337	056E93/94	Mauritius	Psittacula echo	1993
HQ662338	064E05/06	Mauritius	Psittacula echo	2006
HQ662339	065E05/06	Mauritius	Psittacula echo	2006
HQ662340	068E05/06	Mauritius	Psittacula echo	2006
HQ662341	071E05/06	Mauritius	Psittacula echo	2006
HQ662342	078E05/06	Mauritius	Psittacula echo	2006
HQ662343	173E05/06	Mauritius	Psittacula echo	2006
HQ662344	181E05/06	Mauritius	Psittacula echo	2006
HQ662345	187E05/06	Mauritius	Psittacula echo	2006
HQ662346	207E05/06	Mauritius	Psittacula echo	2005
HQ662347	209E05/06	Mauritius	Psittacula echo	2006
HQ662348	217E05/06	Mauritius	Psittacula echo	2006
HQ662349	219E05/06	Mauritius	Psittacula echo	2005
HQ662350	229E05/06	Mauritius	Psittacula echo	2006
HQ662351	235E05/06	Mauritius	Psittacula echo	2005
HQ662352	240E05/06	Mauritius	Psittacula echo	2005
HQ662353	244E05/06	Mauritius	Psittacula echo	2005
HQ662354	245E05/06	Mauritius	Psittacula echo	2006
HQ662355	247E05/06	Mauritius	Psittacula echo	2006
HQ662356	272E05/06	Mauritius	Psittacula echo	2006
HQ662357	273E05/06	Mauritius	Psittacula echo	2006
HQ662358	278E06/07	Mauritius	Psittacula echo	2006
HQ662359	292E06/07	Mauritius	Psittacula echo	2006
HQ662360	317E06/07	Mauritius	Psittacula echo	2006
HQ662361	322E06/07	Mauritius	Psittacula echo	2006
HQ662362	351E06/07	Mauritius	Psittacula echo	2006
HQ662363	355E06/07	Mauritius	Psittacula echo	2006
HQ662364	356E06/07	Mauritius	Psittacula echo	2006
HQ662365	383E07/08	Mauritius	Psittacula echo	2007
HQ662366	388E07/08	Mauritius	Psittacula echo	2007
HQ662367	390E07/08	Mauritius	Psittacula echo	2007
HQ662368	400E07/08	Mauritius	Psittacula echo	2007
HQ662369	414E07/08	Mauritius	Psittacula echo	2007
HQ662370	441E07/08	Mauritius	Psittacula echo	2007
HQ662371	447E07/08	Mauritius	Psittacula echo	2007
HQ662372	449E07/08	Mauritius	Psittacula echo	2007
HQ662373	551E08/09	Mauritius	Psittacula echo	2009
HQ662374	508E08/09	Mauritius	Psittacula echo	2009
HQ662375	528E08/09	Mauritius	Psittacula echo	2009
HQ662376	521E08/09	Mauritius	Psittacula echo	2009
HQ662377	570E08/09	Mauritius	Psittacula echo	2009
HQ662378	593E08/09	Mauritius	Psittacula echo	2009
HQ662379	597E08/09	Mauritius	Psittacula echo	2009
HQ662380	474E08/09	Mauritius	Psittacula echo	2009
HQ662381	598E08/09	Mauritius	Psittacula echo	2009
HQ662382	611E08/09	Mauritius	Psittacula echo	2008
HQ662383	520E08/09	Mauritius	Psittacula echo	2008
HQ662384	544E08/09	Mauritius	Psittacula echo	2008
HQ662385	586E08/09	Mauritius	Psittacula echo	2008
HQ662386	002R06/07	Mauritius	Psittacula krameri	2006
HQ662387	010R06/07	Mauritius	Psittacula krameri	2006
HQ662388	013R06/07	Mauritius	Psittacula krameri	2007
HQ662389	014R06/07	Mauritius	Psittacula krameri	2007
HQ662390	016R06/07	Mauritius	Psittacula krameri	2007
HQ662391	017R06/07	Mauritius	Psittacula krameri	2007
HQ662392	018R06/07	Mauritius	Psittacula krameri	2007
HQ662393	022R06/07	Mauritius	Psittacula krameri	2007
HQ662394	024R06/06	Mauritius	Psittacula krameri	2007
HQ662395	026R06/07	Mauritius	Psittacula krameri	2007
HQ662396	027R06/07	Mauritius	Psittacula krameri	2007
HQ662397	028R06/07	Mauritius	Psittacula krameri	2007
HQ662398	029R06/07	Mauritius	Psittacula krameri	2007
HQ662399	031R06/07	Mauritius	Psittacula krameri	2007
HQ662400	076R07/08	Mauritius	Psittacula krameri	2007
HQ662401	081R06/07	Mauritius	Psittacula krameri	2007
HQ662402	085R07/08	Mauritius	Psittacula krameri	2008
HQ662403	087R07/08	Mauritius	Psittacula krameri	2008
HQ662404	088R07/08	Mauritius	Psittacula krameri	2008
HQ662405	091R07/08	Mauritius	Psittacula krameri	2008
HQ662406	094R07/08	Mauritius	Psittacula krameri	2008
HQ662407	099R07/08	Mauritius	Psittacula krameri	2008
HQ662408	115R06/07	Mauritius	Psittacula krameri	2007
HQ662409	E0109542	Mauritius	Psittacula echo	2009
JF501523	IT02	Italy	Aratinga solstitialis	2008
JF501524	IT04	Italy	Melopsittacus undulatus	2008
JF501525	IT05	Italy	Agapornis roseicollis	2008
JF501526	IT06	Italy	Agapornis roseicollis	2008
JF501527	IT24	Italy	Cacatua alba	2010
JF501528	IT26	Italy	Psittacus erithacus	2010
JF501529	IT27	Italy	Psittacus erithacus	2010
JF501530	IT33	Italy	Psittacus erithacus	2010
JF501531	IT40	Italy	Psittacus erithacus	2010
JF501532	IT47	Italy	Psittacus erithacus	2010
JF519618	BFDV-NZ_L53_2010	New Zealand	Cyanoramphus novaezelandiae	2010
JF519619	BFDV-NZ_R18_2010	New Zealand	Platycercus eximius	2010
JF827600	IT54	Italy	Psittacus erithacus	2008
JF827601	IT60	Italy	Psittacus erithacus	2008
JQ649409	BH 732	Brazil	Amazona aestiva	2011
JQ649410	BH 215	Brazil	Amazona aestiva	2011
JQ649411	BH 27	Brazil	Psittacula krameri	2011
JQ782196	D134138	New Zealand	Platycercus eximius	2009
JQ782197	D134142	New Zealand	Platycercus eximius	2009
JQ782198	D134144	New Zealand	Platycercus eximius	2009
JQ782199	D134146	New Zealand	Platycercus eximius	2009
JQ782200	SCPA2	New Zealand	Platycercus eximius	2009
JQ782201	YCP01-11	New Zealand	Cyanoramphus auriceps	2011
