sequenceID	isolate	isolate_update	country	country_update	host_sci_name	host_sci_name_update	collection_year	collection_year_update
AY148290	SCC5	unchanged	-	unchanged	Cacatua galerita	unchanged	-	unchanged
AY148291	RCL	unchanged	-	unchanged	Trichogolossus haematodus rubritorquis	unchanged	-	unchanged
AY148292	YBL1	unchanged	-	unchanged	Lorius chlorocercus	unchanged	-	unchanged
AY148293	RL5	unchanged	-	unchanged	Trichogolossus haematodus	unchanged	-	unchanged
AY148294	RL2	unchanged	-	unchanged	Trichogolossus haematodus	unchanged	-	unchanged
AY148295	RL3	unchanged	-	unchanged	Trichogolossus haematodus	unchanged	-	unchanged
AY148296	BSL1	unchanged	-	unchanged	Eos reticulata	unchanged	-	unchanged
AY148297	BSL2	unchanged	-	unchanged	Eos reticulata	unchanged	-	unchanged
AY148298	GL	unchanged	-	unchanged	Psitteuteles goldiei	unchanged	-	unchanged
AY148299	YBL2	unchanged	-	unchanged	Lorius chlorocercus	unchanged	-	unchanged
AY148300	RL6	unchanged	-	unchanged	Trichogolossus haematodus	unchanged	-	unchanged
AY148301	BG3	unchanged	-	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
AY345131	-	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450434	WBC1-ZA	unchanged	-	unchanged	Pionites leucogaster	unchanged	-	unchanged
AY450435	AFG4-ZA	unchanged	-	unchanged	Psittacus erithacus	unchanged	-	unchanged
AY450436	UC1-ZA	unchanged	-	unchanged	Cacatua alba	unchanged	-	unchanged
AY450442	BCL1-ZA	unchanged	-	unchanged	Agapornis nigrigenis	unchanged	-	unchanged
AY450443	AFG3-ZA	unchanged	-	unchanged	Psittacus erithacus	unchanged	-	unchanged
AY450444	LJP2-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450445	BWJ1-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450446	LJP1-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450447	GJP2-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450448	ARB2-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450449	ARB3-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450450	UC2-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450451	SM1-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY450452	ARB1-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
AY518516	CG1	unchanged	USA	unchanged	Cacatua galerita	unchanged	-	unchanged
AY518899	-	unchanged	Germany	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518900	-	unchanged	USA	unchanged	Psittacula kramerii	unchanged	-	unchanged
AY518901	-	unchanged	Portugal	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518902	-	unchanged	Germany	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518903	-	unchanged	Germany	unchanged	Amazona aestiva	unchanged	-	unchanged
AY518904	-	unchanged	United Kingdom	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518905	-	unchanged	Japan	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518906	-	unchanged	India	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518907	-	unchanged	USA	unchanged	Agapornis roseicollis	unchanged	-	unchanged
AY518908	-	unchanged	USA	unchanged	Agapronis roseicollis	unchanged	-	unchanged
AY518909	-	unchanged	United Kingdom	unchanged	Agapornis roseicollis	unchanged	-	unchanged
AY518910	-	unchanged	Portugal	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518911	-	unchanged	Germany	unchanged	Amazona aestiva	unchanged	-	unchanged
AY518912	-	unchanged	Portugal	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518913	-	unchanged	New Zealand	unchanged	Trichoglossus haematodus	unchanged	-	unchanged
AY518914	-	unchanged	Germany	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518915	-	unchanged	Germany	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518916	-	unchanged	Spain	unchanged	Aratinga solstitalis	unchanged	-	unchanged
AY518917	-	unchanged	USA	unchanged	Eclectus roratus	unchanged	-	unchanged
AY518918	-	unchanged	United Kingdom	unchanged	Agapornis roseicollis	unchanged	-	unchanged
AY518919	-	unchanged	United Kingdom	unchanged	Agapornis roseicollis	unchanged	-	unchanged
AY518920	-	unchanged	Germany	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518921	-	unchanged	Saudi Arabia	unchanged	Cacatua haematuropygia	unchanged	-	unchanged
AY518922	-	unchanged	Saudi Arabia	unchanged	Cacatua leadbeateri	unchanged	-	unchanged
AY518923	-	unchanged	USA	unchanged	Cacatua moluccensis	unchanged	-	unchanged
AY518924	-	unchanged	United Kingdom	unchanged	Amazona autumnalis	unchanged	-	unchanged
AY518925	-	unchanged	USA	unchanged	Poicephalus senegalensis	unchanged	-	unchanged
AY518926	-	unchanged	Puerto Rico	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518927	-	unchanged	USA	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518928	-	unchanged	USA	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY518929	-	unchanged	USA	unchanged	Psittacula kramerii	unchanged	-	unchanged
AY518930	-	unchanged	Israel	unchanged	Eolophus roseicapillus	unchanged	-	unchanged
AY518931	-	unchanged	USA	unchanged	Ara militaris	unchanged	-	unchanged
AY518932	-	unchanged	United Kingdom	unchanged	Coracopsis vasa	unchanged	-	unchanged
AY521234	-	unchanged	USA: Texas	unchanged	Psittacula kramerii	unchanged	-	unchanged
AY521236	-	unchanged	Portugal	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY521237	-	unchanged	Germany	unchanged	Psittacus eritacus	unchanged	-	unchanged
AY521238	-	unchanged	United Kingdom	unchanged	Psittacus eritacus	unchanged	-	unchanged
CS449877	-	unchanged	-	unchanged	-	unchanged	-	unchanged
CS449878	-	unchanged	-	unchanged	-	unchanged	-	unchanged
CS449879	-	unchanged	-	unchanged	-	unchanged	-	unchanged
CS449896	-	unchanged	-	unchanged	-	unchanged	-	unchanged
CS449897	-	unchanged	-	unchanged	-	unchanged	-	unchanged
CS449898	-	unchanged	-	unchanged	-	unchanged	-	unchanged
DQ016388	1-RL-NSW	unchanged	Australia	unchanged	Trichoglossus haematodus	unchanged	-	unchanged
DQ016389	2-RL-NSW	unchanged	Australia	unchanged	Trichoglossus haematodus	unchanged	-	unchanged
DQ016390	3-SP-TAS	unchanged	Australia	unchanged	Lathamus discolour	unchanged	-	unchanged
DQ016391	4-SP-TAS	unchanged	Australia	unchanged	Lathamus discolour	unchanged	-	unchanged
DQ016392	5-RL-VIC	unchanged	Australia	unchanged	Trichoglossus haematodus	unchanged	-	unchanged
DQ016393	6-ML-WA	unchanged	Australia	unchanged	Glossopsitta concinna	unchanged	-	unchanged
DQ016394	7-RL-WA	unchanged	Australia	unchanged	Trichoglossus haematodus	unchanged	-	unchanged
DQ016395	8-RCL-WA	unchanged	Australia	unchanged	Trichoglossus haematodus rubritorquis	unchanged	-	unchanged
DQ016396	9-RL-NSW	unchanged	Australia	unchanged	Trichoglossus haematodus rubritorquis	unchanged	-	unchanged
DQ304738	-	unchanged	Taiwan	unchanged	blue-streaked lory (Eos reticulate)	unchanged	-	unchanged
DQ304739	-	unchanged	Taiwan	unchanged	blue-streaked lory (Eos reticulate)	unchanged	-	unchanged
DQ304740	-	unchanged	Taiwan	unchanged	African grey parrot (Psittacus erithacus)	unchanged	-	unchanged
DQ304741	-	unchanged	Taiwan	unchanged	African grey parrot (Psittacus erithacus)	unchanged	-	unchanged
DQ304742	-	unchanged	Taiwan	unchanged	blue & yellow macaw (Ara ararauna)	unchanged	-	unchanged
DQ304743	-	unchanged	Taiwan	unchanged	African grey parrot (Psittacus erithacus)	unchanged	-	unchanged
DQ304744	-	unchanged	Taiwan	unchanged	yellow-naped Amazon (Amazona auropalliata)	unchanged	-	unchanged
DQ304745	-	unchanged	Taiwan	unchanged	African grey parrot (Psittacus erithacus)	unchanged	-	unchanged
DQ304746	-	unchanged	Taiwan	unchanged	red-rumped parakeet (Psephotus haematonotus)	unchanged	-	unchanged
DQ304747	-	unchanged	Taiwan	unchanged	African grey parrot (Psittacus erithacus)	unchanged	-	unchanged
DQ304748	-	unchanged	Taiwan	unchanged	Pacific parroleet (Forpus coelestis)	unchanged	-	unchanged
DQ304749	-	unchanged	Taiwan	unchanged	Eclectus parrot (Eclectus roratus)	unchanged	-	unchanged
DQ304750	-	unchanged	Taiwan	unchanged	Eclectus parrot (Eclectus roratus)	unchanged	-	unchanged
DQ304751	-	unchanged	Taiwan	unchanged	sulphur-crested cockatoo (Cacatua galerita)	unchanged	-	unchanged
DQ304752	-	unchanged	Taiwan	unchanged	sulphur-crested cockatoo (Cacatua galerita)	unchanged	-	unchanged
DQ304753	-	unchanged	Taiwan	unchanged	Eclectus parrot (Eclectus roratus)	unchanged	-	unchanged
DQ304754	-	unchanged	Taiwan	unchanged	yellow-naped Amazon (Amazona auropalliata)	unchanged	-	unchanged
DQ304755	-	unchanged	Taiwan	unchanged	sulphur-crested cockatoo (Cacatua galerita)	unchanged	-	unchanged
DQ304756	-	unchanged	Taiwan	unchanged	budgerigar (Melopsittacus undulatus)	unchanged	-	unchanged
DQ304757	-	unchanged	Taiwan	unchanged	budgerigar (Melopsittacus undulatus)	unchanged	-	unchanged
DQ304758	-	unchanged	Taiwan	unchanged	budgerigar (Melopsittacus undulatus)	unchanged	-	unchanged
DQ384621	UFS2	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	-	unchanged
DQ384622	UFS1	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	-	unchanged
DQ384623	UFS3	unchanged	South Africa	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
DQ384624	UFS4	unchanged	South Africa	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
DQ384625	UFS5	unchanged	South Africa	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
DQ384626	UFS6	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	-	unchanged
DQ397815	HHP1-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
DQ397816	HHP1-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
DQ397817	AFG5-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
DQ397818	CPA10-ZA	unchanged	-	unchanged	-	unchanged	-	unchanged
EF457974	05-106	unchanged	Australia	unchanged	Nymphicus hollandicus	unchanged	-	unchanged
EF457975	05-726	unchanged	Australia	unchanged	Nymphicus hollandicus	unchanged	-	unchanged
EU093967	CaCvBR18	unchanged	Brazil	unchanged	Serinus canaria	unchanged	2004	unchanged
EU093968	CaCvBR19	unchanged	Brazil	unchanged	Serinus canaria	unchanged	2004	unchanged
EU093969	PBFDVBR02	unchanged	Brazil	unchanged	Melopsittacus undulatus	unchanged	2004	unchanged
EU093970	CaCvBR20	unchanged	Brazil	unchanged	Serinus canaria	unchanged	2004	unchanged
EU093971	PBFDVBR42	unchanged	Brazil	unchanged	Amazona amazonica	unchanged	2004	unchanged
EU093972	PBFDVBR03	unchanged	Brazil	unchanged	Psittacula krameri	unchanged	2004	unchanged
EU093973	PBFDVBR07	unchanged	Brazil	unchanged	Amazona aestiva	unchanged	2004	unchanged
EU093974	PBFDVBR08	unchanged	Brazil	unchanged	Psittacula krameri	unchanged	2004	unchanged
EU093976	PBFDVBR15	unchanged	Brazil	unchanged	Guarouba guarouba	unchanged	2004	unchanged
EU093977	PBFDVBR17	unchanged	Brazil	unchanged	Guarouba guarouba	unchanged	2004	unchanged
EU093978	PBFDVBR25	unchanged	Brazil	unchanged	Amazona aestiva	unchanged	2004	unchanged
EU093979	PBFDVBR41	unchanged	Brazil	unchanged	Melopsittacus undulatus	unchanged	2005	unchanged
EU139440	-	unchanged	Czech Republic	unchanged	Amazona aestiva	unchanged	-	unchanged
EU139441	-	unchanged	Czech Republic	unchanged	Agapornis roseicollis	unchanged	-	unchanged
EU139442	-	unchanged	Slovakia	unchanged	Agapornis roseicollis	unchanged	-	unchanged
EU139443	-	unchanged	Czech Republic	unchanged	Agapornis roseicollis	unchanged	-	unchanged
EU139444	-	unchanged	Czech Republic	unchanged	Agapornis roseicollis	unchanged	-	unchanged
EU139445	-	unchanged	Czech Republic	unchanged	Agapornis sp.	unchanged	-	unchanged
EU139446	-	unchanged	Slovakia	unchanged	Cacatua alba	unchanged	-	unchanged
EU139447	-	unchanged	Czech Republic	unchanged	Cacatua galerita	unchanged	-	unchanged
EU139448	-	unchanged	Czech Republic	unchanged	Cacatua leadbeateri	unchanged	-	unchanged
EU139449	-	unchanged	Slovakia	unchanged	Cacatua sulphurea	unchanged	-	unchanged
EU139450	-	unchanged	Czech Republic	unchanged	Eunymphicus cornutus	unchanged	-	unchanged
EU139451	-	unchanged	Czech Republic	unchanged	Eclectus roratus	unchanged	-	unchanged
EU139452	-	unchanged	Czech Republic	unchanged	Lorius chlorocercus	unchanged	-	unchanged
EU139453	-	unchanged	Czech Republic	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
EU139454	-	unchanged	Slovakia	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
EU139455	-	unchanged	Czech Republic	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
EU139456	-	unchanged	Czech Republic	unchanged	Melopsittacus undulatus	unchanged	-	unchanged
EU139457	-	unchanged	Czech Republic	unchanged	Probosciger aterrimus	unchanged	-	unchanged
EU139458	-	unchanged	Czech Republic	unchanged	Poicephalus cryptoxanthus	unchanged	-	unchanged
EU139459	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139460	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139461	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139462	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139463	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139464	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139465	-	unchanged	Czech Republic	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU139466	-	unchanged	Czech Republic	unchanged	Platycercus eximius	unchanged	-	unchanged
EU139467	-	unchanged	Czech Republic	unchanged	Psephotus haematonotus	unchanged	-	unchanged
EU139468	-	unchanged	Czech Republic	unchanged	Psittacula krameri	unchanged	-	unchanged
EU139469	-	unchanged	Czech Republic	unchanged	Poicephalus senegalus	unchanged	-	unchanged
EU139470	-	unchanged	Czech Republic	unchanged	Platycercus venustus	unchanged	-	unchanged
EU139471	-	unchanged	Czech Republic	unchanged	Trichoglossus haematodus	unchanged	-	unchanged
EU624324	PAR	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	-	unchanged
EU624325	RBKH	unchanged	South Africa	unchanged	Poicephalus rufiventris	unchanged	-	unchanged
EU624326	DGR	unchanged	South Africa	unchanged	Psittacus erithacus	unchanged	-	unchanged
EU624327	JKH	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	-	unchanged
EU624328	LBR	unchanged	South Africa	unchanged	Agapornis roseicollis	unchanged	-	unchanged
EU624329	KWS	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	-	unchanged
EU810207	PT08	unchanged	Portugal	unchanged	Psittacus erithacus	unchanged	2008	unchanged
EU810208	PT05	unchanged	Portugal	unchanged	Psittacus erithacus	unchanged	2005	unchanged
FJ685978	BFDV6	unchanged	Thailand	unchanged	Cacatua sulphurea	unchanged	2005	unchanged
FJ685979	BFDV7	unchanged	Thailand	unchanged	Cacatua sulphurea	unchanged	2005	unchanged
FJ685980	BFDV8	unchanged	Thailand	unchanged	Ara ararauna	unchanged	2006	unchanged
FJ685989	BFDV17	unchanged	Thailand	unchanged	Cacatua moluccensis	unchanged	2006	unchanged
GQ120621	BFDV-PT08-2	unchanged	Portugal	unchanged	Psittacus erithacus	unchanged	2008	unchanged
GQ165756	BKS1ZA_84	unchanged	South Africa	unchanged	Budgerigar	unchanged	2003	unchanged
GQ165757	BKS2ZA_85	unchanged	South Africa	unchanged	Budgerigar	unchanged	2003	unchanged
GQ165758	BKS3ZA_86	unchanged	South Africa	unchanged	Budgerigar	unchanged	2003	unchanged
GQ329705	PT09	unchanged	Portugal	unchanged	Psittacus erithacus	unchanged	2009	unchanged
GQ396652	BFDV_NZ_CN_B84b_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GQ396653	BFDV_NZ_CN_B77_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GQ396654	BFDV_NZ_CN_B80_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GQ396655	BFDV_NZ_CN_B78_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GQ396656	BFDV_NZ_CN_B81_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU015012	BFDV1	unchanged	Thailand	unchanged	Psittacus erithacus	unchanged	2005	unchanged
GU015013	BFDV2	unchanged	Thailand	unchanged	Psittacus erithacus	unchanged	2006	unchanged
GU015014	BFDV3	unchanged	Thailand	unchanged	Psittacula eupatria	unchanged	2006	unchanged
GU015015	BFDV4	unchanged	Thailand	unchanged	Psittacula eupatria	unchanged	2006	unchanged
GU015016	BFDV5	unchanged	Thailand	unchanged	Psittacula eupatria	unchanged	2006	unchanged
GU015017	BFDV9	unchanged	Thailand	unchanged	Ara severa	unchanged	2006	unchanged
GU015018	BFDV10	unchanged	Thailand	unchanged	Ara nobilis	unchanged	2006	unchanged
GU015019	BFDV11	unchanged	Thailand	unchanged	Eclectus roratus	unchanged	2006	unchanged
GU015020	BFDV12	unchanged	Thailand	unchanged	Eclectus roratus	unchanged	2006	unchanged
GU015021	BFDV14	unchanged	Thailand	unchanged	Ara chloropterus	unchanged	2009	unchanged
GU015022	BFDV15	unchanged	Thailand	unchanged	Probosciger aterrimus	unchanged	2006	unchanged
GU015023	BFDV16	unchanged	Thailand	unchanged	Ara ambigua	unchanged	2006	unchanged
GU047347	PT09-2	unchanged	Portugal	unchanged	Psittacus erithacus	unchanged	2009	unchanged
GU936287	BFDV_NZ_PE_B51_2008	unchanged	New Zealand	unchanged	Platycercus eximius	unchanged	2008	unchanged
GU936288	BFDV_NZ_CN_B195_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936289	BFDV_NZ_CN_B157_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936290	BFDV_NZ_CN_B326_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936291	BFDV_NZ_CN_B79_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936292	BFDV_NZ_CN_B162a_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936293	BFDV_NZ_CN_B133_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936294	BFDV_NZ_CN_B125_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936295	BFDV_NZ_CN_B192_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936296	BFDV_NZ_CN_B127_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
GU936297	BFDV_NZ_CN_B162b_2008	unchanged	New Zealand	unchanged	Cyanoramphus novaezelandiae	unchanged	2008	unchanged
HM565916	-	unchanged	Saudi Arabia	unchanged	Psittacus erithacus (African grey parrot)	unchanged	2008	unchanged
HM748918	BFDV_ZA_PR_60A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748919	BFDV_ZA_PGM_81A_2008	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	2008	unchanged
HM748920	BFDV_ZA_PGM_80A_2008	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	2008	unchanged
HM748921	BFDV_ZA_PGM_70A_2008	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	2008	unchanged
HM748922	BFDV_ZA_PGM_69A_2008	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	2008	unchanged
HM748923	BFDV_ZA_PGM_68A_2008	unchanged	South Africa	unchanged	Poicephalus gulielmi massaicus	unchanged	2008	unchanged
HM748924	BFDV_ZA_Am_83e_2008	unchanged	South Africa	unchanged	Amazona sp.	unchanged	2008	unchanged
HM748925	BFDV_ZA_Am_83a_2008	unchanged	South Africa	unchanged	Amazona sp.	unchanged	2008	unchanged
HM748926	BFDV_ZA_ER_78a_2008	unchanged	South Africa	unchanged	Eclectus roratus	unchanged	2008	unchanged
HM748927	BFDV_ZA_PK_76f_2008	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	2008	unchanged
HM748928	BFDV_ZA_PK_75A_2008	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	2008	unchanged
HM748929	BFDV_ZA_PK_74d_2008	unchanged	South Africa	unchanged	Psittacula krameri	unchanged	2008	unchanged
HM748930	BFDV_ZA_PR_61A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748931	BFDV_ZA_PE_55A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748932	BFDV_ZA_PR_54b_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748933	BFDV_ZA_PR_54A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748934	BFDV_ZA_PR_51A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748935	BFDV_ZA_PR_50A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748936	BFDV_ZA_PR_45A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748937	BFDV_ZA_PR_42A_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748938	BFDV_ZA_PR_41a_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HM748939	BFDV_ZA_38A_PR_2008	unchanged	South Africa	unchanged	Poicephalus robustus	unchanged	2008	unchanged
HQ641457	002R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641458	003R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641459	007R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641460	010R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641461	011R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2006	unchanged
HQ641462	013R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641463	014R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641464	016R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
HQ641465	017R06/07	unchanged	Mauritius	unchanged	Psittacula krameri	unchanged	2007	unchanged
