GenBank accession no. 	Virus/putative virus name 	Acronym 	Country 	Isolation source 	Common name 	Sample type 
KT732798 	Pacific flying fox faeces associated gemycircularvirus-6 	PfffaGmV-6 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732799 	Pacific flying fox faeces associated gemycircularvirus-6 	PfffaGmV-6 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732800 	Pacific flying fox faeces associated gemycircularvirus-7 	PfffaGmV-7 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732801 	Pacific flying fox faeces associated gemycircularvirus-8 	PfffaGmV-8 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732802 	Pacific flying fox faeces associated gemycircularvirus-8 	PfffaGmV-8 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732803 	Pacific flying fox faeces associated gemycircularvirus-9 	PfffaGmV-9 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732804 	Pacific flying fox faeces associated gemycircularvirus-10 	PfffaGmV-10 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732805 	Pacific flying fox faeces associated gemycircularvirus-10 	PfffaGmV-10 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732807 	Pacific flying fox faeces associated gemycircularvirus-11 	PfffaGmV-11 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732808 	Pacific flying fox faeces associated gemycircularvirus-11 	PfffaGmV-11 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732809 	Pacific flying fox faeces associated gemycircularvirus-11 	PfffaGmV-11 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732810 	Pacific flying fox faeces associated gemycircularvirus-11 	PfffaGmV-11 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732811 	Pacific flying fox faeces associated gemycircularvirus-11 	PfffaGmV-11 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732812 	Pacific flying fox faeces associated gemycircularvirus-11 	PfffaGmV-11 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732813 	Pacific flying fox faeces associated gemycircularvirus-12 	PfffaGmV-12 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732814 	Pacific flying fox faeces associated gemycircularvirus-13 	PfffaGmV-13 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT732806 	Pacific flying fox faeces associated gemycircularvirus-14 	PfffaGmV-14 	Tonga 	Pteropus tonganus 	Bat 	Faeces 
KT862238 	Faecal-associated gemycircularvirus-14 	FaGmV-14 	New Zealand 	Anas platyrhynchos 	Duck 	Faeces 
KT862239 	Faecal-associated gemycircularvirus-14 	FaGmV-14 	New Zealand 	Anas platyrhynchos 	Duck 	Faeces 
KT862240 	Sewage-associated gemycircularvirus-3 	SaGmV-3 	New Zealand 	Gallus gallus domesticus 	Chicken 	Faeces 
KT862241 	Faecal-associated gemycircularvirus-4 	FaGmV-4 	New Zealand 	Gallus gallus domesticus 	Chicken 	Faeces 
KT862242 	Faecal-associated gemycircularvirus-17 	FaGmV-17 	New Zealand 	Gallus gallus domesticus 	Chicken 	Faeces 
KT862243 	Faecal-associated gemycircularvirus-20 	FaGmV-20 	New Zealand 	Gallus gallus domesticus 	Chicken 	Faeces 
KT862244 	Faecal-associated gemycircularvirus-20 	FaGmV-20 	New Zealand 	Lama glama 	Llama 	Faeces 
KT862245 	Faecal-associated gemycircularvirus-21 	FaGmV-21 	New Zealand 	Lama glama 	Llama 	Faeces 
KT862246 	Faecal-associated gemycircularvirus-20 	FaGmV-20 	New Zealand 	Equus ferus caballus 	Horse 	Faeces 
KT862247 	Faecal-associated gemycircularvirus-21 	FaGmV-21 	New Zealand 	Equus ferus caballus 	Horse 	Faeces 
KT862248 	Faecal-associated gemycircularvirus-18 	FaGmV-18 	New Zealand 	Equus ferus caballus 	Horse 	Faeces 
KT862249 	Faecal-associated gemycircularvirus-16 	FaGmV-16 	New Zealand 	Ovis aries 	Sheep 	Faeces 
KT862250 	Faecal-associated gemycircularvirus-19 	FaGmV-19 	New Zealand 	Sus scrofa domestica 	Pig 	Faeces 
KT862251 	Faecal-associated gemycircularvirus-16 	FaGmV-16 	New Zealand 	Ovis aries 	Sheep 	Faeces 
KT862252 	Sewage-associated gemycircularvirus-3 	SaGmV-3 	New Zealand 	Bos taurus 	Cow 	Faeces 
KT862253 	Faecal-associated gemycircularvirus-22 	FaGmV-22 	New Zealand 	Bos taurus 	Cow 	Faeces 
KT862254 	Faecal-associated gemycircularvirus-15 	FaGmV-15 	New Zealand 	Canis lupus familiaris 	Dog 	Faeces 
KT862255 	Sewage-associated gemycircularvirus-3 	SaGmV-3 	New Zealand 	Lepus europaeus 	Hare 	Faeces 
LK931483 	HCBI8.215 virus 	HCBI8_215 	Germany 	Bos taurus 	Cow 	Serum 
LK931484 	HCBI9.212 virus 	HCBI9_212 	Germany 	Bos taurus 	Cow 	Serum 
LK931485 	MSSI2.225 virus 	MSSI2_225 	Germany 	Homo sapiens 	Human 	Blood 
