sequenceID	name	full_name	family	genus	clade	host range	isolation_source
NC_035474	L-BrV-RC	Human feces smacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_026320	Lemur-PoSCV-1	Lemur associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024119	PoSCV	PoSCV Kor J481	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030126	PoSCV-10	Porcine associated porprismacovirus 10	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_021204	PoSCV-3	Porcine associated porprismacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039071	PoSCV-4	Porcine associated porprismacovirus 4	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024772	PoSCV-5	Porcine associated porprismacovirus 5	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024776	PoSCV-6	Porcine associated porprismacovirus 6	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024773	PoSCV-7	Porcine associated porprismacovirus 7	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024775	PoSCV-8	Porcine associated porprismacovirus 8	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024774	PoSCV-9	Porcine associated porprismacovirus 9	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030127	PoaPSV	Porcine stool-associated circular virus	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_021203	PoaPSV-2	Porcine stool-associated circular virus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_027777	RaaPSV-1	Rat associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030121	OvaPSV-1	Sheep faeces associated smacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030122	OvaPSV-2	Sheep faeces associated smacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030120	OvaPSV-3	Sheep faeces associated smacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_023887	TaPSV	Turkey associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_017916	GER2011	Pig stool associated circular ssDNA virus GER2011	Smacoviridae	Unclassified	Unclassified	Unknown	Unknown
