sequenceID	name	full_name	family	genus	clade	host range	isolation_source
NC_034547	BtCyV-GF-4c	Bat cyclovirus GF-4c putative Rep and putative Cap genes 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Bat sp.
NC_025791	BtCyV-POAII	Bat circovirus POA/2012/II 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	bat colony
NC_025792	BtCyV-POAVI	Bat circovirus POA/2012/VI 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	bat colony
NC_025476	CyV-ZM36a	Cyclovirus ZM36a DNA 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Crocidura hirta
NC_023866	DfCyV5	Dragonfly cyclovirus 5 isolate PR-6E-2010 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Erythrodiplax umbrata
NC_024700	FlCyV	Feline cyclovirus 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Felis catus
NC_021707	CyV-VN	Cyclovirus VN isolate hcf1 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_032682	IE-CyV-IECSF08	Indian encephalitis associated cyclovirus isolate IECSF08 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_023874	HuCyV-GS140	Human associated cyclovirus 10 strain 7078A 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_020206	FwCa-CyV-GS140	Florida woods cockroach-associated cyclovirus isolate GS140	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Eurycotis floridana
NC_021568	HuCyV-VS5700009	Human cyclovirus VS5700009 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Homo sapiens
NC_023869	DfCyV-2	Dragonfly cyclovirus 2 isolate FL1-NZ38-2010 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Pantala flavescens
NC_014929	CyV-bat	Cyclovirus bat/USA/2009 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Bat sp.
NC_023867	DfCyV-4	Dragonfly cyclovirus 4 isolate BG-NZ46-2007 	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Somatochlora meridionalis
NC_023886	DfCyV-A1	Dragonfly cyclovirus isolate DfCyV-A1_To-6NZ21-Tt-2010  	Circoviridae	Cyclovirus	Cyclovirus-1	Unknown	Tholymis tillarga
KJ831064	CyV-SL-108277	Cyclovirus SL-108277	Circoviridae	Cyclovirus	Unclassified	Unknown	Unknown
KM382270	BtRp-CV-POA	Bat circovirus POA/2012/VI	Circoviridae	Cyclovirus	Unclassified	Unknown	Unknown
NC_026641	AHEaCV-14	Avon-Heatchote Estuary Associated Virus 14	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_025710	CV-5-LDMD-2013	Circoviridae 5-LDMD-2014	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_025716	CV-11-LDMD-2013	Circoviridae 11-LDMD-2014	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_025717	CV-13-LDMD-2013	Circoviridae 13-LDMD-2014	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_025720	CV-16-LDMD-2013	Circoviridae 16-LDMD-2014	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_026639	AHEaCV-13	Avon-Heatchote Estuary Associated Virus 13	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_026648	AHEaCV-21	Avon-Heatchote Estuary Associated Virus 21	CRESS-1	CRESS-1	CRESS	Unknown	Metagenome
NC_027795	COACV	Calanoida sp. copepod associated circular virus	CRESS-1	CRESS-1	CRESS	Unknown	Calanoida
NC_025683	CvPo-41	Po-Circo-like virus 41	CRESS-2	CRESS-2	Unclassified	Unknown	Unknown
MK059763	HLVV	Human lung-associated vientovirus FB	Redondoviridae	Vientovirus	Vientovirus	Unknown	Unknown
KJ888053	EACMKV	East African cassava mosaic Kenya virus	Gemininviridae	Gemininvirus	Gemininvirus	Unknown	Unknown
MK059757	L-BrV-RC	Human lung-associated brisavirus RC	Redondoviridae	Brisavirus	Brisavirus	Unknown	Unknown
MF669476	CBSV	Cattle blood-associated circovirus-like virus 	Smacoviridae	Porprismacovirus	Smacovirus	Unknown	Unknown
NC_030123	Bovine-SCV-3	Bovine faeces associated smacovirus 3	Smacoviridae	Bovismacovirus	Bovismacovirus	Unknown	Unknown
NC_039054	Bovine-SCV	Circoviridae bovine stool/BK/KOR/2011	Smacoviridae	Bovismacovirus	Bovismacovirus	Unknown	Unknown
NC_039055	Odonata-CV-21	Odonata-associated circular virus 21	Smacoviridae	Bovismacovirus	Bovismacovirus	Unknown	Unknown
NC_030128	Bovine-SCV-4	Bovine faeces associated smacovirus 4	Smacoviridae	Cosmacovirus	Cosmacovirus	Unknown	Unknown
NC_039056	Odonata-CV-5	Odonata-associated circular virus 5	Smacoviridae	Dragsmacovirus	Dragsmacovirus	Unknown	Unknown
NC_030125	Bovine-SCV-5	Bovine faeces associated smacovirus 5	Smacoviridae	Drosmacovirus	Drosmacovirus	Unknown	Unknown
NC_039057	Camel-SCV-1	Camel associated drosmacovirus 1	Smacoviridae	Drosmacovirus	Drosmacovirus	Unknown	Unknown
NC_039058	Camel-SCV-2	Camel associated drosmacovirus 2	Smacoviridae	Drosmacovirus	Drosmacovirus	Unknown	Unknown
NC_030124	Bovine-SCV-1	Bovine faeces associated smacovirus 1	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_030129	Bovine-SCV-6	Bovine faeces associated smacovirus 6	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_039059	Chicken-HuchiSCV-1	Chicken associated huchismacovirus 1	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_039060	Chicken-HuchiSCV-2	Chicken associated huchismacovirus 2	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_033275	Chicken-SCV	Chicken associated smacovirus	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_039061	HuchiSCV-1	Human associated huchismacovirus 1	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_039062	HuchiSCV-2	Human associated huchismacovirus 2	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_039063	HuchiSCV-3	Human associated huchismacovirus 3	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_026252	Human-SCV-1	Human smacovirus 1	Smacoviridae	Huchismacovirus	Huchismacovirus	Unknown	Unknown
NC_040359	Alces-SCV	Alces alces faeces associated smacovirus MP78	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030119	Bovine-SCV-2	Bovine faeces associated smacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039064	Camel-PoSCV-1	Camel associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039065	Camel-PoSCV-2	Camel associated porprismacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039066	Camel-PoSCV-3	Camel associated porprismacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039067	Camel-PoSCV-4	Camel associated porprismacovirus 4	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039068	Chimp-PoSCV-1	Chimpanzee associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039069	Chimp-PoSCV-2	Chimpanzee associated porprismacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_040336	Fly-SCV--1	Fly associated circular virus 4	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_026319	Gorilla-SCV--1	Gorilla associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_026317	Howler-SCV--1	Howler monkey associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_026318	Human-PoSCV-2	Human associated porprismacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039070	Human-SCV-2	Human feces smacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_035474	L-BrV-RC	Human feces smacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_026320	Lemur-PoSCV-1	Lemur associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024119	PoSCV	PoSCV Kor J481	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030126	PoSCV-10	Porcine associated porprismacovirus 10	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_021204	PoSCV-3	Porcine associated porprismacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_039071	PoSCV-4	Porcine associated porprismacovirus 4	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024772	PoSCV-5	Porcine associated porprismacovirus 5	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024776	PoSCV-6	Porcine associated porprismacovirus 6	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024773	PoSCV-7	Porcine associated porprismacovirus 7	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024775	PoSCV-8	Porcine associated porprismacovirus 8	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_024774	PoSCV-9	Porcine associated porprismacovirus 9	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030127	PoaPSV	Porcine stool-associated circular virus	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_021203	PoaPSV-2	Porcine stool-associated circular virus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_027777	RaaPSV-1	Rat associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030121	OvaPSV-1	Sheep faeces associated smacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030122	OvaPSV-2	Sheep faeces associated smacovirus 2	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_030120	OvaPSV-3	Sheep faeces associated smacovirus 3	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_023887	TaPSV	Turkey associated porprismacovirus 1	Smacoviridae	Porprismacovirus	Porprismacovirus	Unknown	Unknown
NC_017916	GER2011	Pig stool associated circular ssDNA virus GER2011	Smacoviridae	Unclassified	Unclassified	Unknown	Unknown
