sequenceID	numeric_id	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	host_class	host_group_taxlevel	host_group_name	reftype	name	full_name	family	genus	clade	host_group_common_name	num_copies	locus_id	notes
ecv-circo.65-nannospalax	65					boreoeutheria	species	Nannospalax_galili	Reference	ecv-circo.65-nannospalax	ecv-circo.65-nannospalax	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.66-choloepus	66					boreoeutheria	species	Choloepus_hoffmanni	Reference	ecv-circo.66-choloepus	ecv-circo.66-choloepus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.200-actinopterygii	200					fish	subclass	Actinopterygii	Consensus	ecv-circo.200-actinopterygii	ecv-circo.200-actinopterygii	Circoviridae	Circovirus	1	1	1	1	remove
ecv-circo.240-anguilla	240					fish	species	Anguilla	Consensus	ecv-circo.240-anguilla	ecv-circo.240-anguilla	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.206-sinocyclocheilus	206					fish	species	Sinocyclocheilus	Reference	ecv-circo.206-sinocyclocheilus	ecv-circo.206-sinocyclocheilus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.207-parambassis-ranga	207					fish	species	Parambassis ranga	Reference	ecv-circo.207-parambassis-ranga	ecv-circo.207-parambassis-ranga	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.208-chaenocephalus	208					fish	species	Chaenocephalus aceratus	Reference	ecv-circo.208-chaenocephalus	ecv-circo.208-chaenocephalus	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.90-dasyuridae	90					marsupialia	clade	Dasyuridae	Consensus	ecv-circo.90-dasyuridae	ecv-circo.90-dasyuridae	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.91-phascolarctos	91					marsupialia	species	Phascolarctos 	Consensus	ecv-circo.91-phascolarctos	ecv-circo.91-phascolarctos	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.92-monodelphis	92					marsupialia	species	Monodelphis_domestica	Reference	ecv-circo.92-monodelphis	ecv-circo.92-monodelphis	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.102-testudines	102					reptile	clade	Testudines	Consensus	ecv-circo.102-testudines	ecv-circo.102-testudines	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.104-salvator	104					reptile	species	Salvator	Consensus	ecv-circo.104-salvator	ecv-circo.104-salvator	Circoviridae	Circovirus	1	1	1	1	
ecv-circo.105-serpentes	105					reptile	suborder	Serpentes	Consensus	ecv-circo.105-serpentes	ecv-circo.105-serpentes	Circoviridae	Circovirus	1	1	1	1	
