sequenceID	locus_name	locus_numeric_id	stem.duplicate_id	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	sequence_length
circo.104-Salvator_merianae	circo.104-salvator_translated	104	circo.104.	Salvator_merianae	Reptiles	Lepidosauria	Squamata	Teiidae	Salvator	Salvator_merianae	low_coverage	HLtupMer6	GCA_003586115.2_HLtupMer6_genomic.fna	QVOM02000073.1	+	1179841	1180386	1	189	1	546	189	345	100	4.04	123	7	0	546
circo.105.1-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.1	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01024207.1	+	6477	6989	104	249	1	429	146	188	67.123	3.31	58	3	0	513
circo.105.2-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.2	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01009165.1	+	1506	3266	1	401	647	1759	406	441	66.502	1.1	150	15	0	1761
circo.105.3-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.3	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01223473.1	+	2674	3243	259	441	569	18	190	235	81.053	3.75	76	12	0	570
circo.105.4-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.4	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01223472.1	+	404	1153	252	431	557	3	200	158	62	1.16	45	11	0	750
circo.105.5-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.5	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01333966.1	+	50	316	315	401	266	3	92	86.3	73.913	2.58	21	8	0	267
circo.105.6-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.6	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01099474.1	+	4876	5082	1	56	1	168	56	120	96.429	3.28	34	0	0	207
circo.105.7-Protobothrops_mucrosquamatus	circo.105-Serpentes-con_translated	105	circo.105.7	Protobothrops_mucrosquamatus	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_mucrosquamatus	low_coverage	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152142|ref|NW_015386769.1|	-	73821	74132	291	381	302	21	97	96.3	74.227	1.13	24	8	0	312
circo.105.8-Protobothrops_mucrosquamatus	circo.105-Serpentes-con_translated	105	circo.105.8	Protobothrops_mucrosquamatus	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_mucrosquamatus	low_coverage	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152077|ref|NW_015386834.1|	+	294070	294246	318	373	173	3	60	55.8	78.333	3.51	11	6	0	177
circo.105.9-Protobothrops_mucrosquamatus	circo.105-Serpentes-con_translated	105	circo.105.9	Protobothrops_mucrosquamatus	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_mucrosquamatus	low_coverage	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152722|ref|NW_015386686.1|	+	123440	123802	303	401	302	3	104	103	75	3.44	27	8	0	363
circo.105.10-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.10	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01006230.1	+	49971	50405	265	394	428	24	148	133	61.486	9.22	38	7	0	435
circo.105.11-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.11	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01000559.1	-	215450	215656	1	56	1	168	56	124	98.214	1.08	35	0	0	207
circo.105.12-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.12	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01000557.1	+	2716	3547	308	431	456	830	135	97.1	61.481	1.16	44	9	0	832
circo.105.13-Crotalus_horridus	circo.105-Serpentes-con_translated	105	circo.105.13	Crotalus_horridus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_horridus	low_coverage	v1	GCA_001625485.1_ASM162548v1_genomic.fna	LVCR01015089.1	-	21449	21910	155	259	13	327	105	168	70.476	7.89	51	0	0	462
circo.105.14-Protobothrops_flavoviridis	circo.105-Serpentes-con_translated	105	circo.105.14	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_flavoviridis	low_coverage	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01024458.1	-	88	219	1	41	1	132	44	87.4	86.364	1.58	22	1	0	132
circo.105.15-Protobothrops_flavoviridis	circo.105-Serpentes-con_translated	105	circo.105.15	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_flavoviridis	low_coverage	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01002615.1	+	165763	166386	259	439	623	72	199	117	57.286	4.44	31	8	0	624
circo.105.16-Protobothrops_flavoviridis	circo.105-Serpentes-con_translated	105	circo.105.16	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_flavoviridis	low_coverage	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01082743.1	+	2	277	260	347	275	3	92	91.7	63.043	2.79	23	4	0	276
circo.105.17-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.17	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01327854.1	+	24	235	22	54	1	99	33	63.9	84.848	2.63	20	0	0	212
circo.105.18-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.18	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01192303.1	+	52	513	155	259	13	327	105	165	69.524	1.02	49	0	0	462
circo.105.19-Protobothrops_mucrosquamatus	circo.105-Serpentes-con_translated	105	circo.105.19	Protobothrops_mucrosquamatus	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_mucrosquamatus	low_coverage	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002147286|ref|NW_015387091.1|	+	352201	352635	259	377	434	69	125	119	69.6	1.43	32	7	0	435
circo.105.20-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.20	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01005724.1	+	53133	53702	259	441	569	18	190	231	79.474	1.58	74	12	0	570
circo.105.21-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.21	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01000084.1	-	203766	204227	155	259	13	327	105	159	66.667	2.86	47	0	0	462
circo.105.22-Protobothrops_flavoviridis	circo.105-Serpentes-con_translated	105	circo.105.22	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_flavoviridis	low_coverage	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01043388.1	-	2	673	45	259	1	630	215	278	70.698	1.76	92	5	0	672
circo.105.23-Strigops_habroptilus	circo.105-Serpentes-con_translated	105	circo.105.23	Strigops_habroptilus	Aves	Neognathae	Psittaciformes	Psittacidae	Strigops	Strigops_habroptilus	low_coverage	bStrHab1_v1	GCA_004011185.1_bStrHab1_v1.h_genomic.fna	RXXF01000146.1	+	25936	26121	1	56	1	177	59	73.6	57.627	2.94	17	1	0	186
circo.105.24-Ptyas_mucosa	circo.105-Serpentes-con_translated	105	circo.105.24	Ptyas_mucosa	Reptiles	Lepidosauria	Squamata	Colubridae	Ptyas	Ptyas_mucosa	low_coverage	Pmuc_v1.0	GCA_012654045.1_UNIGE_Pmuc_v1.0_genomic.fna	WNWU01000057.1	+	3809706	3810002	261	349	293	9	100	59.3	48	1	11	4	0	297
circo.105.25-Python_bivittatus	circo.105-Serpentes-con_translated	105	circo.105.25	Python_bivittatus	Reptiles	Lepidosauria	Squamata	Pythonidae	Python	Python_bivittatus	low_coverage	5.0.2	176946_ref_Python_molurus_bivittatus-5.0.2_chrUn.fa	gi|588471619|ref|NW_006533858.1|	+	192576	192776	67	112	40	171	46	65.5	76.087	2.28	14	2	0	201
circo.105.26-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.26	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01003690.1	-	48039	48551	104	249	1	429	146	191	67.808	3.03	59	3	0	513
circo.105.27-Crotalus_viridis	circo.105-Serpentes-con_translated	105	circo.105.27	Crotalus_viridis	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_viridis	low_coverage	CroVir2.0	GCA_003400415.1_CroVir2.0_genomic.fna	PDHV01000968.1	+	82668	84434	1	262	1122	352	262	387	77.863	1.4	132	5	0	1767
circo.105.28-Crotalus_horridus	circo.105-Serpentes-con_translated	105	circo.105.28	Crotalus_horridus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_horridus	low_coverage	v1	GCA_001625485.1_ASM162548v1_genomic.fna	LVCR01005637.1	-	76585	76791	1	56	1	168	56	124	98.214	1.08	35	0	0	207
circo.105.29-Crotalus_horridus	circo.105-Serpentes-con_translated	105	circo.105.29	Crotalus_horridus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_horridus	low_coverage	v1	GCA_001625485.1_ASM162548v1_genomic.fna	LVCR01008418.1	+	34904	36681	1	262	665	1435	262	383	77.863	6.03	128	5	0	1778
circo.105.30-Crotalus_horridus	circo.105-Serpentes-con_translated	105	circo.105.30	Crotalus_horridus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_horridus	low_coverage	v1	GCA_001625485.1_ASM162548v1_genomic.fna	LVCR01091779.1	+	7251	7995	265	431	228	743	187	139	60.428	1.22	38	11	0	745
circo.105.31-Protobothrops_flavoviridis	circo.105-Serpentes-con_translated	105	circo.105.31	Protobothrops_flavoviridis	Reptiles	Lepidosauria	Squamata	Viperidae	Protobothrops	Protobothrops_flavoviridis	low_coverage	GCA_003402635.1_HabAm_1.0	GCA_003402635.1_HabAm_1.0_genomic.fna	BFFQ01020132.1	+	2870	3280	327	438	395	63	116	119	72.414	8.79	33	8	0	411
circo.105.32-Crotalus_mitchellii_pyrrhus	circo.105-Serpentes-con_translated	105	circo.105.32	Crotalus_mitchellii_pyrrhus	Reptiles	Lepidosauria	Squamata	Viperidae	Crotalus	Crotalus_mitchellii_pyrrhus	low_coverage	CrotMitch1.0	GCA_000737285.1_CrotMitch1.0_genomic.fna	JPMF01156588.1	-	210	437	265	336	227	3	75	108	77.333	9.63	30	3	0	228
circo.105.33-Pantherophis_guttatus	circo.105-Serpentes-con_translated	105	circo.105.33	Pantherophis_guttatus	Reptiles	Lepidosauria	Squamata	Colubridae	Pantherophis	Pantherophis_guttatus	low_coverage	PanGut1.0	GCA_001185365.1_PanGut1.0_genomic.fna	JTLQ01205518.1	-	1347	1622	261	349	269	9	92	70.5	55.435	9.11	16	4	0	276
circo.14.1-Serinus_canaria	circo.14-psittaciformes	14	circo.14.1	Serinus_canaria	Aves	Neognathae	Passeriformes	Fringillidae	Serinus	Serinus_canaria	low_coverage	ncbi_100	9135_ref_SCA1_chrUn.fa	gi|668298665|ref|NW_007975816.1|	+	419	703	2	88	25	285	87	182	98.851	2.67	61	0	0	285
circo.14.2-Serinus_canaria	circo.14-psittaciformes	14	circo.14.2	Serinus_canaria	Aves	Neognathae	Passeriformes	Fringillidae	Serinus	Serinus_canaria	low_coverage	ncbi_100	9135_ref_SCA1_chrUn.fa	gi|668343355|ref|NW_007931126.1|	+	2938709	2939050	8	107	10	309	100	210	100	4.75	72	0	0	342
circo.150.1-Microcaecilia_unicolor	circo.150-microcaecilia-con	150	circo.150.1	Microcaecilia_unicolor	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	Microcaecilia_unicolor	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044031.1	+	92436510	92436809	137	195	122	298	59	97.8	86.441	2.47	26	0	0	300
circo.150.2-Microcaecilia_unicolor	circo.150-microcaecilia-con	150	circo.150.2	Microcaecilia_unicolor	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia	Microcaecilia_unicolor	low_coverage	aMicUni1.1	GCF_901765095.1_aMicUni1.1_genomic.fna	NC_044033.1	+	115328509	115328865	146	263	2	355	118	140	77.119	2	42	0	0	357
circo.151-Rana_catesbeiana	circo.151-Anura-con_translated	151	circo.151.	Rana_catesbeiana	Amphibia	Batrachia	Anura	Ranidae	Rana	Rana_catesbeiana	low_coverage	RCv2.1	GCA_002284835.2_RCv2.1_genomic.fna	KV950097.1	-	29850	30158	1	107	1	309	107	194	100	3.22	66	4	0	309
circo.152-Xenopus_tropicalis	circo.152-Anura-con-Xenopus_translated	152	circo.152.	Xenopus_tropicalis	Amphibia	Batrachia	Anura	Pipidae	Xenopus	Xenopus_tropicalis	low_coverage	v7_2015-06-19	str_ref_Xtropicalis_v7_chrUn.fa	gi|510884120|ref|NW_004668236.1|	-	126615975	126616313	2	109	7	324	109	203	99.083	1.61	69	4	0	339
circo.2.1-Pionus_senilis	circo.2-psittaciformes-con_translated	2	circo.2.1	Pionus_senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus	Pionus_senilis	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	WURU01357921.1	-	25	366	414	523	341	3	115	144	87.826	5.08	42	6	0	342
circo.2.1-Ara_macao	circo.2-psittaciformes-con_translated	2	circo.2.1	Ara_macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara	Ara_macao	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	KE028244.1	-	8544	9197	308	514	653	6	224	144	57.589	2.95	40	12	0	654
circo.2.1-Agapornis_roseicollis	circo.2-psittaciformes-con_translated	2	circo.2.1	Agapornis_roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis	Agapornis_roseicollis	low_coverage	ASM263189v1	GCA_002631895.1_ASM263189v1_genomic.fna	NDXB01007873.1	+	1	771	52	307	22	771	256	370	74.609	3.53	127	4	0	771
circo.2.2-Agapornis_roseicollis	circo.2-psittaciformes-con_translated	2	circo.2.2	Agapornis_roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis	Agapornis_roseicollis	low_coverage	ASM263189v1	GCA_002631895.1_ASM263189v1_genomic.fna	NDXB01015985.1	+	9084	9992	2	306	4	909	306	431	70.915	6.03	150	4	0	909
circo.2.3-Agapornis_roseicollis	circo.2-psittaciformes-con_translated	2	circo.2.3	Agapornis_roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis	Agapornis_roseicollis	low_coverage	ASM263189v1	GCA_002631895.1_ASM263189v1_genomic.fna	NDXB01025889.1	-	33	206	249	306	1	174	58	120	93.103	3.72	34	0	0	174
circo.2.4-Agapornis_roseicollis	circo.2-psittaciformes-con_translated	2	circo.2.4	Agapornis_roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis	Agapornis_roseicollis	low_coverage	ASM263189v1	GCA_002631895.1_ASM263189v1_genomic.fna	NDXB01029727.1	-	1	216	105	180	1	216	76	98.2	68.421	8.25	26	3	0	216
circo.2.1-Amazona_aestiva	circo.2-psittaciformes-con_translated	2	circo.2.1	Amazona_aestiva	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona	Amazona_aestiva	low_coverage	ASM142067v1	GCA_001420675.1_ASM142067v1_genomic.fa	LMAW01000593.1	+	45091	45765	308	503	674	63	209	263	84.211	7.79	86	12	0	675
circo.2.1-Guaruba_guarouba	circo.2-psittaciformes-con_translated	2	circo.2.1	Guaruba_guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba	Guaruba_guarouba	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	JAABOC010001853.1	+	33323	33975	318	514	620	6	212	174	66.981	1.9	51	14	0	653
circo.2.1-Amazona_vittata	circo.2-psittaciformes-con_translated	2	circo.2.1	Amazona_vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona	Amazona_vittata	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	KB274708.1	-	8443	9118	350	523	542	3	186	244	84.409	1.76	78	12	0	676
circo.2.1-Eupsittula_pertinax	circo.2-psittaciformes-con_translated	2	circo.2.1	Eupsittula_pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula	Eupsittula_pertinax	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	WUQE01007556.1	+	152345356	152346008	318	514	620	6	212	177	67.453	8.61	53	14	0	653
circo.2.5-Agapornis_roseicollis	circo.2-psittaciformes-con_translated	2	circo.2.5	Agapornis_roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis	Agapornis_roseicollis	low_coverage	ASM263189v1	GCA_002631895.1_ASM263189v1_genomic.fna	NDXB01042494.1	-	2	178	8	65	1	177	59	61.6	52.542	4.34	13	1	0	177
circo.206.1-Labeo_rohita	circo.206-sinocyclocheilus-con_translated	206	circo.206.1	Labeo_rohita	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	Labeo_rohita	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01004667.1	-	54563	54997	134	256	37	405	125	127	56	9.68	35	3	0	435
circo.206.2-Labeo_rohita	circo.206-sinocyclocheilus-con_translated	206	circo.206.2	Labeo_rohita	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	Labeo_rohita	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01012996.1	-	182548	182982	134	256	37	405	125	127	56	9.68	35	3	0	435
circo.206.3-Sinocyclocheilus_grahami	circo.206-sinocyclocheilus-con_translated	206	circo.206.3	Sinocyclocheilus_grahami	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Sinocyclocheilus	Sinocyclocheilus_grahami	low_coverage	v1.1	75366_ref_SAMN03320097.WGS_v1.1_chrUn.fa	gi|1019138682|ref|NW_015507170.1|	-	37549	42533	1	263	348	1115	263	441	87.833	1.47	162	5	0	4985
circo.206.4-Labeo_rohita	circo.206-sinocyclocheilus-con_translated	206	circo.206.4	Labeo_rohita	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	Labeo_rohita	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01011140.1	-	133473	142138	154	342	3348	2791	189	310	77.249	4.86	128	2	0	8666
circo.206.5-Cyprinus_carpio	circo.206-sinocyclocheilus-con_translated	206	circo.206.5	Cyprinus_carpio	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Cyprinus	Cyprinus_carpio	low_coverage	v1_2015	GCA_000951615.1_common_carp_genome_genomic.fna	LN591599.1	-	42923	49716	1	345	3648	4646	348	454	68.391	1.05	140	9	0	6794
circo.207-Pygocentrus_nattereri	circo.207-pygocentrus_translated	207	circo.207.	Pygocentrus_nattereri	Actinopteri	Characiphysae	Characiformes	Serrasalmidae	Pygocentrus	Pygocentrus_nattereri	low_coverage	1.0.2	GCA_001682695.1_Pygocentrus_nattereri-1.0.2_genomic.fna	KV576931.1	-	8728	8931	1	67	10	201	67	120	100	4.86	38	3	0	204
circo.208-Salmo_salar	circo.208-Salmo-con_translated	208	circo.208.	Salmo_salar	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Salmo	Salmo_salar	complete	ICASG_v2	ssa_ref_ICSASG_v2_chrssa02.fa	gi|925216780|ref|NC_027301.1|	-	39771746	39771907	1	54	1	159	55	95.9	98.182	4.4	27	3	0	162
circo.210-Labeo_rohita	circo.210-Labeo-KF051798_translated	210	circo.210.	Labeo_rohita	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo	Labeo_rohita	low_coverage	ASM412021v1	GCA_004120215.1_ASM412021v1_genomic.fna	QBIY01011140.1	+	118760	119574	1	117	67	411	118	221	99.153	9.62	95	4	0	815
circo.211.1-Amphiprion_ocellaris	circo.211-Acanthochromis-con_translated	211	circo.211.1	Amphiprion_ocellaris	Actinopteri	Unclassified	Unclassified	Pomacentridae	Amphiprion	Amphiprion_ocellaris	low_coverage	AmpOce1.0	GCF_002776465.1_AmpOce1.0_genomic.fna	NW_019371920.1	-	7867	8271	78	213	13	405	139	113	61.151	1.64	31	8	0	405
circo.211.2-Acanthochromis_polyacanthus	circo.211-Acanthochromis-con_translated	211	circo.211.2	Acanthochromis_polyacanthus	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	Acanthochromis_polyacanthus	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01003690.1	+	900	1646	2	261	1	747	265	321	75.472	5.46	111	9	0	747
circo.211.3-Acanthochromis_polyacanthus	circo.211-Acanthochromis-con_translated	211	circo.211.3	Acanthochromis_polyacanthus	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis	Acanthochromis_polyacanthus	low_coverage	ASM210954v1	GCA_002109545.1_ASM210954v1_genomic.fna	MVNR01000067.1	+	1033535	1034110	8	198	1	573	197	273	82.741	4.29	93	7	0	576
