taxon	sequenceID	name	genus	scaffold	host_species	host_genus	host_family	host_order
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_234653	Cyprinus_carpio_234653	Cyprinus_carpio_234653	Circovirus	LN590934.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_24223	Cyprinus_carpio_24223	Cyprinus_carpio_24223	Circovirus	LN593839.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_2608998	Cyprinus_carpio_2608998	Cyprinus_carpio_2608998	Circovirus	LN590674.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_34039	Cyprinus_carpio_34039	Cyprinus_carpio_34039	Circovirus	LN591599.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_3415	Cyprinus_carpio_3415	Cyprinus_carpio_3415	Circovirus	LN591634.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_42923	Cyprinus_carpio_42923	Cyprinus_carpio_42923	Circovirus	LN591599.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Cyprinus_carpio_51471	Cyprinus_carpio_51471	Cyprinus_carpio_51471	Circovirus	LN590814.1	Cyprinus_carpio	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Guentherus_altivela_4150	Guentherus_altivela_4150	Guentherus_altivela_4150	Circovirus	OMOX01035492.1	Guentherus_altivela	-	Ateleopodidae	Ateleopodiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Kryptolebias_marmoratus_1233	Kryptolebias_marmoratus_1233	Kryptolebias_marmoratus_1233	Circovirus	LWHD01000494.1	Kryptolebias_marmoratus	-	Unclassified	Cyprinodontiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Kryptolebias_marmoratus_325120	Kryptolebias_marmoratus_325120	Kryptolebias_marmoratus_325120	Circovirus	LWHD01000287.1	Kryptolebias_marmoratus	-	Unclassified	Cyprinodontiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Kryptolebias_marmoratus_328047	Kryptolebias_marmoratus_328047	Kryptolebias_marmoratus_328047	Circovirus	LWHD01000287.1	Kryptolebias_marmoratus	-	Unclassified	Cyprinodontiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Kryptolebias_marmoratus_4748	Kryptolebias_marmoratus_4748	Kryptolebias_marmoratus_4748	Circovirus	LWHD01002073.1	Kryptolebias_marmoratus	-	Unclassified	Cyprinodontiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Kryptolebias_marmoratus_6393	Kryptolebias_marmoratus_6393	Kryptolebias_marmoratus_6393	Circovirus	LWHD01000529.1	Kryptolebias_marmoratus	-	Unclassified	Cyprinodontiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Labeo_rohita_118760	Labeo_rohita_118760	Labeo_rohita_118760	Circovirus	QBIY01011140.1	Labeo_rohita	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Labeo_rohita_133473	Labeo_rohita_133473	Labeo_rohita_133473	Circovirus	QBIY01011140.1	Labeo_rohita	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Labeo_rohita_182548	Labeo_rohita_182548	Labeo_rohita_182548	Circovirus	QBIY01012996.1	Labeo_rohita	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Labeo_rohita_495278	Labeo_rohita_495278	Labeo_rohita_495278	Circovirus	QBIY01013464.1	Labeo_rohita	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Labeo_rohita_54563	Labeo_rohita_54563	Labeo_rohita_54563	Circovirus	QBIY01004667.1	Labeo_rohita	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Labeo_rohita_553842	Labeo_rohita_553842	Labeo_rohita_553842	Circovirus	QBIY01012625.1	Labeo_rohita	-	Cyprinidae	Cypriniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Micropterus_floridanus_2113	Micropterus_floridanus_2113	Micropterus_floridanus_2113	Circovirus	NRCI01230647.1	Micropterus_floridanus	-	Centrarchidae	Centrarchiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Neolamprologus_brichardi_322085	Neolamprologus_brichardi_322085	Neolamprologus_brichardi_322085	Circovirus	gi|573877209|ref|NW_006272290.1|	Neolamprologus_brichardi	-	Cichlidae	Cichliformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Neolamprologus_brichardi_73087	Neolamprologus_brichardi_73087	Neolamprologus_brichardi_73087	Circovirus	gi|573881695|ref|NW_006272170.1|	Neolamprologus_brichardi	-	Cichlidae	Cichliformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Parambassis_ranga_74524	Parambassis_ranga_74524	Parambassis_ranga_74524	Circovirus	CAABQF010001166.1	Parambassis_ranga	-	Ambassidae	Unclassified
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Paramormyrops_kingsleyae_203700	Paramormyrops_kingsleyae_203700	Paramormyrops_kingsleyae_203700	Circovirus	PGUA01000398.1	Paramormyrops_kingsleyae	-	Mormyridae	Osteoglossiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Paramormyrops_kingsleyae_581533	Paramormyrops_kingsleyae_581533	Paramormyrops_kingsleyae_581533	Circovirus	PGUA01000292.1	Paramormyrops_kingsleyae	-	Mormyridae	Osteoglossiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Perca_fluviatilis_568872	Perca_fluviatilis_568872	Perca_fluviatilis_568872	Circovirus	QFAT01024028.1	Perca_fluviatilis	-	Percidae	Perciformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Pygocentrus_nattereri_8728	Pygocentrus_nattereri_8728	Pygocentrus_nattereri_8728	Circovirus	KV576931.1	Pygocentrus_nattereri	-	Serrasalmidae	Characiformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Rondeletia_loricata_1800	Rondeletia_loricata_1800	Rondeletia_loricata_1800	Circovirus	OMLI01034121.1	Rondeletia_loricata	-	Rondeletiidae	Beryciformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Salmo_salar_39771746	Salmo_salar_39771746	Salmo_salar_39771746	Circovirus	gi|925216780|ref|NC_027301.1|	Salmo_salar	-	Salmonidae	Salmoniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Salmo_salar_70546551	Salmo_salar_70546551	Salmo_salar_70546551	Circovirus	gi|925216706|ref|NC_027317.1|	Salmo_salar	-	Salmonidae	Salmoniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Salmo_salar_86482848	Salmo_salar_86482848	Salmo_salar_86482848	Circovirus	gi|925216723|ref|NC_027310.1|	Salmo_salar	-	Salmonidae	Salmoniformes
alignment/AL_ecv-circo.200-actinopterygii-con/member/fasta-digs-circo-ecv/Stylephorus_chordatus_686	Stylephorus_chordatus_686	Stylephorus_chordatus_686	Circovirus	OMPB01049283.1	Stylephorus_chordatus	-	Stylephoridae	Stylephoriformes
