taxon	sequenceID	name	genus	scaffold	host_species	host_genus	host_family	host_order
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_1674670	Arctocephalus_gazella_1674670	Arctocephalus_gazella_1674670	Circovirus	UIRR01000380.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_2661386	Arctocephalus_gazella_2661386	Arctocephalus_gazella_2661386	Circovirus	UIRR01000215.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_3130748	Arctocephalus_gazella_3130748	Arctocephalus_gazella_3130748	Circovirus	UIRR01000101.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_3199423	Arctocephalus_gazella_3199423	Arctocephalus_gazella_3199423	Circovirus	UIRR01000214.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_400348	Arctocephalus_gazella_400348	Arctocephalus_gazella_400348	Circovirus	UIRR01000387.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_5349433	Arctocephalus_gazella_5349433	Arctocephalus_gazella_5349433	Circovirus	UIRR01000038.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_6145515	Arctocephalus_gazella_6145515	Arctocephalus_gazella_6145515	Circovirus	UIRR01000005.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_6149536	Arctocephalus_gazella_6149536	Arctocephalus_gazella_6149536	Circovirus	UIRR01000005.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_6157334	Arctocephalus_gazella_6157334	Arctocephalus_gazella_6157334	Circovirus	UIRR01000005.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_6441858	Arctocephalus_gazella_6441858	Arctocephalus_gazella_6441858	Circovirus	UIRR01000098.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Arctocephalus_gazella_660993	Arctocephalus_gazella_660993	Arctocephalus_gazella_660993	Circovirus	UIRR01000535.1	Arctocephalus_gazella	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_1	Callorhinus_ursinus_1	Callorhinus_ursinus_1	Circovirus	KZ838752.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_10	Callorhinus_ursinus_10	Callorhinus_ursinus_10	Circovirus	QLOG01034067.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_10081	Callorhinus_ursinus_10081	Callorhinus_ursinus_10081	Circovirus	KZ838985.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_10371	Callorhinus_ursinus_10371	Callorhinus_ursinus_10371	Circovirus	QLOG01035794.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_10925	Callorhinus_ursinus_10925	Callorhinus_ursinus_10925	Circovirus	QLOG01032425.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_11992979	Callorhinus_ursinus_11992979	Callorhinus_ursinus_11992979	Circovirus	KZ836503.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_12166	Callorhinus_ursinus_12166	Callorhinus_ursinus_12166	Circovirus	QLOG01034703.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_12716	Callorhinus_ursinus_12716	Callorhinus_ursinus_12716	Circovirus	QLOG01032553.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_12803	Callorhinus_ursinus_12803	Callorhinus_ursinus_12803	Circovirus	KZ836572.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_1358	Callorhinus_ursinus_1358	Callorhinus_ursinus_1358	Circovirus	QLOG01039861.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_1458	Callorhinus_ursinus_1458	Callorhinus_ursinus_1458	Circovirus	QLOG01046907.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_15523	Callorhinus_ursinus_15523	Callorhinus_ursinus_15523	Circovirus	KZ836265.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_15819	Callorhinus_ursinus_15819	Callorhinus_ursinus_15819	Circovirus	QLOG01049858.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_1630	Callorhinus_ursinus_1630	Callorhinus_ursinus_1630	Circovirus	KZ836668.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_1637	Callorhinus_ursinus_1637	Callorhinus_ursinus_1637	Circovirus	QLOG01052457.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_17364	Callorhinus_ursinus_17364	Callorhinus_ursinus_17364	Circovirus	QLOG01051931.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_19798	Callorhinus_ursinus_19798	Callorhinus_ursinus_19798	Circovirus	QLOG01033120.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_2049	Callorhinus_ursinus_2049	Callorhinus_ursinus_2049	Circovirus	KZ839048.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_2113	Callorhinus_ursinus_2113	Callorhinus_ursinus_2113	Circovirus	QLOG01047559.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_2119	Callorhinus_ursinus_2119	Callorhinus_ursinus_2119	Circovirus	QLOG01047535.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_2254	Callorhinus_ursinus_2254	Callorhinus_ursinus_2254	Circovirus	QLOG01037432.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_229	Callorhinus_ursinus_229	Callorhinus_ursinus_229	Circovirus	QLOG01032182.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_24100	Callorhinus_ursinus_24100	Callorhinus_ursinus_24100	Circovirus	QLOG01048727.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_24106	Callorhinus_ursinus_24106	Callorhinus_ursinus_24106	Circovirus	QLOG01048716.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_252	Callorhinus_ursinus_252	Callorhinus_ursinus_252	Circovirus	QLOG01033188.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_263733	Callorhinus_ursinus_263733	Callorhinus_ursinus_263733	Circovirus	KZ836497.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_29	Callorhinus_ursinus_29	Callorhinus_ursinus_29	Circovirus	QLOG01042329.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_3	Callorhinus_ursinus_3	Callorhinus_ursinus_3	Circovirus	QLOG01046389.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_3069	Callorhinus_ursinus_3069	Callorhinus_ursinus_3069	Circovirus	KZ839000.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_31308	Callorhinus_ursinus_31308	Callorhinus_ursinus_31308	Circovirus	KZ836442.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_31650	Callorhinus_ursinus_31650	Callorhinus_ursinus_31650	Circovirus	QLOG01035838.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_329	Callorhinus_ursinus_329	Callorhinus_ursinus_329	Circovirus	QLOG01049523.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_3535	Callorhinus_ursinus_3535	Callorhinus_ursinus_3535	Circovirus	QLOG01048935.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_35495132	Callorhinus_ursinus_35495132	Callorhinus_ursinus_35495132	Circovirus	KZ836351.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_3802	Callorhinus_ursinus_3802	Callorhinus_ursinus_3802	Circovirus	QLOG01034996.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_38831	Callorhinus_ursinus_38831	Callorhinus_ursinus_38831	Circovirus	QLOG01033128.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_40745056	Callorhinus_ursinus_40745056	Callorhinus_ursinus_40745056	Circovirus	KZ836264.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_419	Callorhinus_ursinus_419	Callorhinus_ursinus_419	Circovirus	QLOG01045572.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_420	Callorhinus_ursinus_420	Callorhinus_ursinus_420	Circovirus	KZ837771.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_430	Callorhinus_ursinus_430	Callorhinus_ursinus_430	Circovirus	KZ837718.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_4319	Callorhinus_ursinus_4319	Callorhinus_ursinus_4319	Circovirus	QLOG01044306.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_4419	Callorhinus_ursinus_4419	Callorhinus_ursinus_4419	Circovirus	QLOG01052607.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_4475	Callorhinus_ursinus_4475	Callorhinus_ursinus_4475	Circovirus	QLOG01052606.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_45413683	Callorhinus_ursinus_45413683	Callorhinus_ursinus_45413683	Circovirus	KZ836351.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_4657	Callorhinus_ursinus_4657	Callorhinus_ursinus_4657	Circovirus	KZ836599.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_5481	Callorhinus_ursinus_5481	Callorhinus_ursinus_5481	Circovirus	QLOG01034806.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_592	Callorhinus_ursinus_592	Callorhinus_ursinus_592	Circovirus	QLOG01036223.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_6061	Callorhinus_ursinus_6061	Callorhinus_ursinus_6061	Circovirus	QLOG01049616.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_6090	Callorhinus_ursinus_6090	Callorhinus_ursinus_6090	Circovirus	KZ838700.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_626	Callorhinus_ursinus_626	Callorhinus_ursinus_626	Circovirus	QLOG01039544.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_6853	Callorhinus_ursinus_6853	Callorhinus_ursinus_6853	Circovirus	QLOG01048524.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_6957	Callorhinus_ursinus_6957	Callorhinus_ursinus_6957	Circovirus	KZ838688.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_7011	Callorhinus_ursinus_7011	Callorhinus_ursinus_7011	Circovirus	KZ836494.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_747	Callorhinus_ursinus_747	Callorhinus_ursinus_747	Circovirus	QLOG01049481.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_7850	Callorhinus_ursinus_7850	Callorhinus_ursinus_7850	Circovirus	KZ836448.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_8086	Callorhinus_ursinus_8086	Callorhinus_ursinus_8086	Circovirus	QLOG01049667.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_9216	Callorhinus_ursinus_9216	Callorhinus_ursinus_9216	Circovirus	KZ836604.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_9445	Callorhinus_ursinus_9445	Callorhinus_ursinus_9445	Circovirus	KZ836533.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_9639698	Callorhinus_ursinus_9639698	Callorhinus_ursinus_9639698	Circovirus	KZ836281.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Callorhinus_ursinus_9713	Callorhinus_ursinus_9713	Callorhinus_ursinus_9713	Circovirus	QLOG01049392.1	Callorhinus_ursinus	-	Otariidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_familiaris_21185486	Canis_familiaris_21185486	Canis_familiaris_21185486	Circovirus	chr16	Canis_familiaris	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_familiaris_30121161	Canis_familiaris_30121161	Canis_familiaris_30121161	Circovirus	chr5	Canis_familiaris	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_familiaris_34311813	Canis_familiaris_34311813	Canis_familiaris_34311813	Circovirus	chr17	Canis_familiaris	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_familiaris_55022597	Canis_familiaris_55022597	Canis_familiaris_55022597	Circovirus	chr15	Canis_familiaris	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_familiaris_61388311	Canis_familiaris_61388311	Canis_familiaris_61388311	Circovirus	chr22	Canis_familiaris	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_lupus_dingo_20362952	Canis_lupus_dingo_20362952	Canis_lupus_dingo_20362952	Circovirus	QKWQ01000528.1	Canis_lupus_dingo	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_lupus_dingo_29929992	Canis_lupus_dingo_29929992	Canis_lupus_dingo_29929992	Circovirus	QKWQ01001382.1	Canis_lupus_dingo	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_lupus_dingo_37888808	Canis_lupus_dingo_37888808	Canis_lupus_dingo_37888808	Circovirus	QKWQ01001620.1	Canis_lupus_dingo	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_lupus_dingo_75233	Canis_lupus_dingo_75233	Canis_lupus_dingo_75233	Circovirus	QKWQ01001125.1	Canis_lupus_dingo	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Canis_lupus_dingo_8878	Canis_lupus_dingo_8878	Canis_lupus_dingo_8878	Circovirus	QKWQ01001539.1	Canis_lupus_dingo	-	Canidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Crocuta_crocuta_182866	Crocuta_crocuta_182866	Crocuta_crocuta_182866	Circovirus	VOAJ01002653.1	Crocuta_crocuta	-	Hyaenidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Crocuta_crocuta_6090962	Crocuta_crocuta_6090962	Crocuta_crocuta_6090962	Circovirus	VOAJ01000543.1	Crocuta_crocuta	-	Hyaenidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Crocuta_crocuta_9186579	Crocuta_crocuta_9186579	Crocuta_crocuta_9186579	Circovirus	VOAJ01001055.1	Crocuta_crocuta	-	Hyaenidae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Cryptoprocta_ferox_44824	Cryptoprocta_ferox_44824	Cryptoprocta_ferox_44824	Circovirus	PJEU01011843.1	Cryptoprocta_ferox	-	Eupleridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Cryptoprocta_ferox_63501	Cryptoprocta_ferox_63501	Cryptoprocta_ferox_63501	Circovirus	PJEU01004785.1	Cryptoprocta_ferox	-	Eupleridae	Carnivora
alignment/AL_ecv-circo.51-carnivora/member/fasta-digs-circo-ecv/Cryptoprocta_ferox_72873	Cryptoprocta_ferox_72873	Cryptoprocta_ferox_72873	Circovirus	PJEU01009186.1	Cryptoprocta_ferox	-	Eupleridae	Carnivora
