taxon	sequenceID	pubmed_id	length	genus	family	name	full_name	clade	isolate	host_sci_name	sample_date	country
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_001412	NC_001412	16453696	2994	Curtovirus	Geminiviridae	BCTV	Beet curly top virus	Unclassified	California [Logan]	-	-	-
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_001792	NC_001792	9787657	1758	Circovirus	Circoviridae	PCV-1	Porcine circovirus 1	Mammal-1	-	-	-	-
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_003479	NC_003479	8445361	1111	Babuvirus	Nanoviridae	BBTV	Banana bunchy top virus	Unclassified	-	-	-	-
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_003813	NC_003813	7886939	1001	Nanovirus	Nanoviridae	SCSV	Subterranean clover stunt virus	Unclassified	-	Trifolium subterraneum L.	-	-
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_003825	NC_003825	8638404	2861	Topocuvirus	Geminiviridae	TpSTV	Tomato pseudo-curly top virus	Unclassified	-	-	-	-
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_010417	NC_010417	18401697	2845	Becurtovirus	Geminiviridae	BCTIV	Beet curly top Iran virus	Unclassified	Kerman	sugar beet	-	Iran: Kerman
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_012664	NC_012664	19321000	2754	Eragrovirus	Geminiviridae	ECSV	Eragrostis curvula streak virus	Unclassified	ECSV-ZA-Esc1-g382-2008	Eragrostis curvula	2008	South Africa
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_020099	NC_020099	23297243	1670	-	-	-	-	-	154_D11	Acartia tonsa	2010	USA: Tampa Bay, FL
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_023888	NC_023888	24055464	2526	-	-	-	-	-	-	Homo sapiens	2003	Brazil
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_025683	NC_025683	21900163	2904	CRESS-2	CRESS-2	CvPo-41	Po-Circo-like virus 41	Unclassified	-	Sus scrofa	2010	USA
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_025710	NC_025710	23879711	2603	-	-	-	-	-	-	-	2009	USA
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_026639	NC_026639	25697886	2212	CRESS-1	CRESS-1	AHEaCV-13	Avon-Heatchote Estuary Associated Virus 13	Unclassified	AHEaCV-13-NZ-1986SG-2012	-	2012	New Zealand
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_027714	NC_027714	26109720	2745	Capulavirus	Geminiviridae	ALCV	Alfalfa leaf curl virus	Unclassified	44-1E	Medicago sativa	2010	France:Camargue, Le Sambuc
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_029117	NC_029117	26611911	2965	Turncurtovirus	Geminiviridae	TLFV	Turnip leaf roll virus	Unclassified	IR:Hom:Th2:Tur:12	Brassica rapa var. rapa	2012	Iran
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_033746	NC_033746	-	4729	Protobacilladnavirus	Bacilladnaviridae	GaBacV1	Amphibola crenata associated bacilladnavirus 1	Unclassified	GaBacV1	Amphibola crenata	2012	New Zealand
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_040792	NC_040792	28684155	2757	Mastrevirus	Geminiviridae	RiceLV	Rice latent virus 1	Unclassified	AU-NA63-2015	Oryza sp.	2015	Australia
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_043432	NC_043432	24275766	5836	Diatodnavirus	Bacilladnaviridae	CsDNAv	Chaetoceros setoense DNA virus	Unclassified	-	Chaetoceros setoensis	2007	Japan: Hiroshima bay
alignment/AL_CRESS_MASTER/member/ncbi-refseqs/NC_043533	NC_043533	-	3174	Grablovirus	Geminiviridae	PrunusLV	Prunus latent virus	Unclassified	PL4	Prunus salicina cv. Formosa	2017	USA
