taxon	sequenceID	pubmed_id	length	genus	name	full_name	clade	isolate	host_sci_name	sample_date	country
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277731	AB277731	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AGP-SA2P	Psittacus erithacus erithacus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277732	AB277732	-	444	Circovirus	BFDV	Beak and feather disease virus	Avian-1	TGP-SA1P	Psittacus erithacus timneh	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277733	AB277733	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	EC-SG1P	Cacatua galerita eleonora	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277734	AB277734	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	WC-SG1P	Cacatua alba	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277735	AB277735	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	WC-IN1P	Cacatua alba	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277736	AB277736	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	YCC-IN3P	Cacatua sulphurea	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277737	AB277737	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	YCC-IN4P	Cacatua sulphurea	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277738	AB277738	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BWP-SA1P	Pionus chalcopterus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277739	AB277739	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BP-SA1P	Poicephalus meyeri	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277740	AB277740	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BHP-SA1P	Poicephalus cryptoxanthus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277741	AB277741	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	RBP-SA1P	Poicephalus rufiventris	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277742	AB277742	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	SP-SA1P	Poicephalus senegalus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277743	AB277743	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AP-UN1P	Psittacula eupatria	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277744	AB277744	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	EP-JP1P	Eclectus roratus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277745	AB277745	-	447	Circovirus	BFDV	Beak and feather disease virus	Avian-1	DP-SA1P	Psittacula derbiana	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277746	AB277746	20658313	1996	Circovirus	BFDV	Beak and feather disease virus	Avian-1	MU-JP1P	Melopsittacus undulatus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB277747	AB277747	20658313	1996	Circovirus	BFDV	Beak and feather disease virus	Avian-1	MU-JP2P	Melopsittacus undulatus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AB514568	AB514568	20035119	1991	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	Japan:Fukuoka
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF071878	AF071878	9787657	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF080560	AF080560	9791035	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311297	AF311297	-	1992	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua tenuirostris	-	Australia: Southern Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311298	AF311298	-	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Eolophus roseicapillus	-	Australia: Western Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311300	AF311300	-	1995	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua leabeateri	-	Australia: Western Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311301	AF311301	-	1994	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	Australia: Northern Territory
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AF311302	AF311302	-	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	Australia: Western Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450434	AY450434	15308722	1988	Circovirus	BFDV	Beak and feather disease virus	Avian-1	WBC1-ZA	Pionites leucogaster	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450435	AY450435	15308722	1988	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AFG4-ZA	Psittacus erithacus	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450436	AY450436	15308722	1988	Circovirus	BFDV	Beak and feather disease virus	Avian-1	UC1-ZA	Cacatua alba	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450442	AY450442	15308722	1996	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BCL1-ZA	Agapornis nigrigenis	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450443	AY450443	15308722	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	AFG3-ZA	Psittacus erithacus	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450444	AY450444	15308722	738	Circovirus	BFDV	Beak and feather disease virus	Avian-1	LJP2-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450445	AY450445	15308722	738	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BWJ1-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450446	AY450446	15308722	738	Circovirus	BFDV	Beak and feather disease virus	Avian-1	LJP1-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450447	AY450447	15308722	738	Circovirus	BFDV	Beak and feather disease virus	Avian-1	GJP2-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450448	AY450448	15308722	738	Circovirus	BFDV	Beak and feather disease virus	Avian-1	ARB2-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450449	AY450449	15308722	739	Circovirus	BFDV	Beak and feather disease virus	Avian-1	ARB3-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450450	AY450450	15308722	738	Circovirus	BFDV	Beak and feather disease virus	Avian-1	UC2-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450451	AY450451	15308722	732	Circovirus	BFDV	Beak and feather disease virus	Avian-1	SM1-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY450452	AY450452	15308722	747	Circovirus	BFDV	Beak and feather disease virus	Avian-1	ARB1-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518516	AY518516	-	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	CG1	Cacatua galerita	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518899	AY518899	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518900	AY518900	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacula kramerii	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518901	AY518901	15290360	690	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518902	AY518902	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518903	AY518903	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Amazona aestiva	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518904	AY518904	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518905	AY518905	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Japan
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518906	AY518906	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	India
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518907	AY518907	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518908	AY518908	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapronis roseicollis	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518909	AY518909	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518910	AY518910	15290360	690	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518911	AY518911	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Amazona aestiva	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518912	AY518912	15290360	690	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518913	AY518913	15290360	690	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Trichoglossus haematodus	-	New Zealand
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518914	AY518914	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518915	AY518915	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518916	AY518916	15290360	690	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Aratinga solstitalis	-	Spain
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518917	AY518917	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Eclectus roratus	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518918	AY518918	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518919	AY518919	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518920	AY518920	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518921	AY518921	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua haematuropygia	-	Saudi Arabia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518922	AY518922	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua leadbeateri	-	Saudi Arabia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518923	AY518923	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua moluccensis	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518924	AY518924	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Amazona autumnalis	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518925	AY518925	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Poicephalus senegalensis	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518926	AY518926	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Puerto Rico
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518927	AY518927	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518928	AY518928	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518929	AY518929	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacula kramerii	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518930	AY518930	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Eolophus roseicapillus	-	Israel
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518931	AY518931	15290360	696	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Ara militaris	-	USA
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY518932	AY518932	15290360	693	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Coracopsis vasa	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY521234	AY521234	15290360	1995	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacula kramerii	-	USA: Texas
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY521236	AY521236	15290360	1991	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY521237	AY521237	15290360	2000	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	Germany
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/AY521238	AY521238	15290360	1999	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus eritacus	-	United Kingdom
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/CS449877	CS449877	-	1988	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/CS449878	CS449878	-	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/CS449879	CS449879	-	1996	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/CS449896	CS449896	-	669	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/CS449897	CS449897	-	624	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/CS449898	CS449898	-	588	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/DQ397818	DQ397818	-	1987	Circovirus	BFDV	Beak and feather disease virus	Avian-1	CPA10-ZA	-	-	-
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EF457974	EF457974	18202953	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	05-106	Nymphicus hollandicus	-	Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EF457975	EF457975	18202953	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	05-726	Nymphicus hollandicus	-	Australia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139440	EU139440	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Amazona aestiva	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139441	EU139441	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139442	EU139442	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	Slovakia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139443	EU139443	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139444	EU139444	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis roseicollis	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139445	EU139445	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Agapornis sp.	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139446	EU139446	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua alba	-	Slovakia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139447	EU139447	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua galerita	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139448	EU139448	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua leadbeateri	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139449	EU139449	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Cacatua sulphurea	-	Slovakia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139450	EU139450	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Eunymphicus cornutus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139451	EU139451	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Eclectus roratus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139452	EU139452	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Lorius chlorocercus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139453	EU139453	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Melopsittacus undulatus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139454	EU139454	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Melopsittacus undulatus	-	Slovakia
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139455	EU139455	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Melopsittacus undulatus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139456	EU139456	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Melopsittacus undulatus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139457	EU139457	-	401	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Probosciger aterrimus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139458	EU139458	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Poicephalus cryptoxanthus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139459	EU139459	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139460	EU139460	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139461	EU139461	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139462	EU139462	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139463	EU139463	-	401	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139464	EU139464	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139465	EU139465	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacus erithacus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139466	EU139466	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Platycercus eximius	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139467	EU139467	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psephotus haematonotus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139468	EU139468	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Psittacula krameri	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139469	EU139469	-	401	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Poicephalus senegalus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139470	EU139470	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Platycercus venustus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU139471	EU139471	-	404	Circovirus	BFDV	Beak and feather disease virus	Avian-1	-	Trichoglossus haematodus	-	Czech Republic
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU624324	EU624324	-	750	Circovirus	BFDV	Beak and feather disease virus	Avian-1	PAR	Psittacula krameri	-	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU624325	EU624325	-	750	Circovirus	BFDV	Beak and feather disease virus	Avian-1	RBKH	Poicephalus rufiventris	-	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU624326	EU624326	-	750	Circovirus	BFDV	Beak and feather disease virus	Avian-1	DGR	Psittacus erithacus	-	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU624327	EU624327	-	750	Circovirus	BFDV	Beak and feather disease virus	Avian-1	JKH	Poicephalus gulielmi massaicus	-	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU624328	EU624328	-	750	Circovirus	BFDV	Beak and feather disease virus	Avian-1	LBR	Agapornis roseicollis	-	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU624329	EU624329	-	750	Circovirus	BFDV	Beak and feather disease virus	Avian-1	KWS	Psittacula krameri	-	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU810207	EU810207	20945789	1998	Circovirus	BFDV	Beak and feather disease virus	Avian-1	PT08	Psittacus erithacus	2008	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/EU810208	EU810208	20945789	1992	Circovirus	BFDV	Beak and feather disease virus	Avian-1	PT05	Psittacus erithacus	2005	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/FJ685978	FJ685978	-	1995	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BFDV6	Cacatua sulphurea	2005	Thailand
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/FJ685979	FJ685979	-	1993	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BFDV7	Cacatua sulphurea	2005	Thailand
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/FJ685980	FJ685980	-	1995	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BFDV8	Ara ararauna	2006	Thailand
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/FJ685989	FJ685989	-	1994	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BFDV17	Cacatua moluccensis	2006	Thailand
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/GQ120621	GQ120621	20945789	2000	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BFDV-PT08-2	Psittacus erithacus	2008	Portugal
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/GQ165756	GQ165756	20127375	1994	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BKS1ZA_84	Budgerigar	2003	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/GQ165757	GQ165757	20127375	1994	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BKS2ZA_85	Budgerigar	2003	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/GQ165758	GQ165758	20127375	1994	Circovirus	BFDV	Beak and feather disease virus	Avian-1	BKS3ZA_86	Budgerigar	2003	South Africa
alignment/AL_BFDV/member/ncbi-curated-circo-bfdv/GQ329705	GQ329705	20945789	2000	Circovirus	BFDV	Beak and feather disease virus	Avian-1	PT09	Psittacus erithacus	2009	Portugal
